starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYPPYBBP, 0.0039965734, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.00071438757, 8909.02, 0.00, 166.33
YYPPYPBP, 0.0021981157, 9002.76, 1931.47, 206.03
YYPPBPBP, 0.0016908583, 8019.83, 3827.11, 182.21
YYYBYBYB, 0.0033830244, 7817.86, 138.61, 0.00
YYYBYBYP, 0.005581991, 7817.86, 92.41, 1038.13
YYYBYBBP, 0.008587678, 8909.02, 138.61, 1379.62
YYYBYPYP, 0.0030700949, 7817.86, 1038.13, 92.41
YYYBYPBP, 0.009446446, 8909.02, 1661.00, 92.41
YYYBBPBP, 0.0072664972, 9002.76, 138.61, 2759.24
YYYPYPYP, 0.0005628508, 7817.86, 0.00, 138.61
YYYPYPBP, 0.002597773, 8909.02, 1379.62, 138.61
YYYPBPBP, 0.003996574, 9002.76, 2759.24, 138.61
YYBPBPBP, 0.002049525, 8019.83, 4138.87, 138.61
BBBBBBBB, 0.00091114704, 0.00, 295.70, 0.00
BBBBBBPP, 0.0011024879, 0.00, 221.77, 8019.83
BBBBBBYB, 0.004737964, 5012.40, 334.15, 0.00
BBBBBBYP, 0.0026058804, 5012.40, 221.77, 3923.73
BBBBBBBP, 0.0040090466, 0.00, 334.15, 5012.40
BBBBPPPP, 0.0005002539, 0.00, 8406.48, 147.85
BBBBPPYB, 0.004299703, 4954.42, 1059.86, 4526.12
BBBBPPYP, 0.0023648366, 5012.40, 147.85, 6658.54
BBBBPPBP, 0.0036382105, 0.00, 194.05, 9002.76
BBBBYBYB, 0.009239029, 7164.10, 281.02, 0.00
BBBBYBYP, 0.010162934, 7164.10, 401.66, 3421.20
BBBBYBBP, 0.015635282, 5012.40, 839.84, 2681.66
BBBBYPYP, 0.0027948068, 7164.10, 147.85, 5060.29
BBBBYPBP, 0.008599406, 5012.40, 217.87, 5906.03
BBBBBPBP, 0.006614927, 0.00, 507.68, 6938.11
BBPPPPPP, 0.00010088455, 0.00, 8019.83, 221.77
BBPPPPYB, 0.0013006602, 5012.40, 6658.54, 147.85
BBPPPPYP, 0.00071536313, 4954.42, 4526.12, 1059.86
BBPPPPBP, 0.0011005588, 0.00, 9002.76, 194.05
BBPPYBYB, 0.005589613, 6979.74, 413.70, 4526.12
BBPPYBYP, 0.006148575, 7158.30, 4753.46, 120.13
BBPPYBBP, 0.0094593465, 5012.40, 5857.80, 120.13
BBPPYPYP, 0.0016908583, 6979.74, 4526.12, 413.70
BBPPYPBP, 0.005202641, 4954.42, 4271.60, 1531.43
BBPPBPBP, 0.0040020314, 0.00, 8909.02, 166.33
BBYBYBYB, 0.0080071585, 8516.32, 223.12, 0.00
BBYBYBYP, 0.013211813, 8516.32, 166.33, 3123.82
BBYBYBBP, 0.020325866, 7037.71, 466.11, 2681.66
BBYBYPYP, 0.0072664972, 8516.32, 120.13, 3608.02
BBYBYPBP, 0.022358455, 7164.10, 166.33, 4820.86
BBYBBPBP, 0.017198812, 5012.40, 1044.84, 3827.11
BBYPYPYP, 0.0013321913, 8458.34, 3678.99, 138.61
BBYPYPBP, 0.006148575, 6979.74, 4271.60, 585.70
BBYPBPBP, 0.0094593465, 5012.40, 166.33, 6637.60
BBBPBPBP, 0.004850947, 0.00, 7817.86, 138.61
PPPPPPPP, 0.0000076293945, 0.00, 0.00, 295.70
PPPPPPYB, 0.0001311499, 5012.40, 3923.73, 221.77
PPPPPPYP, 0.000072132454, 5012.40, 0.00, 334.15
PPPPPPBP, 0.00011097301, 0.00, 5012.40, 334.15
PPPPYBYB, 0.000845429, 7164.10, 5060.29, 147.85
PPPPYBYP, 0.00092997204, 7164.10, 3421.20, 401.66
PPPPYBBP, 0.0014307261, 5012.40, 5906.03, 217.87
PPPPYPYP, 0.0002557423, 7164.10, 0.00, 281.02
PPPPYPBP, 0.0007868995, 5012.40, 2681.66, 839.84
PPPPBPBP, 0.0006053073, 0.00, 7152.49, 300.07
PPYBYBYB, 0.0024221656, 8458.34, 138.61, 3678.99
PPYBYBYP, 0.0039965734, 8516.32, 3608.02, 120.13
PPYBYBBP, 0.0061485744, 7158.30, 4753.46, 120.13
PPYBYPYP, 0.0021981155, 8516.32, 3123.82, 166.33
PPYBYPBP, 0.006763433, 7164.10, 4820.86, 166.33
PPYBBPBP, 0.005202641, 5012.40, 6637.60, 166.33
PPYPYPYP, 0.00040298788, 8516.32, 0.00, 223.12
PPYPYPBP, 0.0018599441, 7037.71, 2681.66, 466.11
PPYPBPBP, 0.0028614525, 5012.40, 3827.11, 1044.84
PPBPBPBP, 0.0014674115, 0.00, 8504.71, 242.18
YBYBYBYB, 0.0026023265, 9050.57, 189.05, 0.00
YBYBYBYP, 0.0057251183, 9050.57, 138.61, 2296.98
YBYBYBBP, 0.008807874, 8516.32, 299.99, 2152.21
YBYBYPYP, 0.004723223, 9050.57, 2098.11, 92.41
YBYBYPBP, 0.014532994, 8516.32, 138.61, 3673.02
YBYBBPBP, 0.011179226, 6938.11, 4071.33, 92.41
YBYPYPYP, 0.0017318486, 9050.57, 2296.98, 138.61
YBYPYPBP, 0.007993147, 8516.32, 3673.02, 138.61
YBYPBPBP, 0.01229715, 7164.10, 5035.62, 138.61
YBBPBPBP, 0.0063062306, 5012.40, 6400.91, 138.61
YPYPYPYP, 0.0002381292, 9050.57, 0.00, 189.05
YPYPYPBP, 0.0014654105, 8516.32, 2152.21, 299.99
YPYPBPBP, 0.0033817166, 7037.71, 3827.11, 507.66
YPBPBPBP, 0.003468427, 5012.40, 138.61, 6400.91
BPBPBPBP, 0.0013340105, 0.00, 9050.57, 189.05
YYYYYYYYYY, 0.000001267204, 369.62, 0.00, 0.00
YYYYYYYYBB, 0.000014996498, 295.70, 11891.21, 0.00
YYYYYYYYPP, 0.000004536441, 295.70, 0.00, 11891.21
YYYYYYYYYB, 0.000019495446, 408.07, 7432.01, 0.00
YYYYYYYYYP, 0.000010722496, 408.07, 0.00, 7432.01
YYYYYYYYBP, 0.000016496148, 295.70, 7432.01, 5324.75
YYYYYYBBBB, 0.00007098934, 12609.72, 147.85, 0.00
YYYYYYBBPP, 0.000042948555, 12609.72, 1116.47, 73.92
YYYYYYBBYB, 0.00018457227, 9692.31, 120.13, 0.00
YYYYYYBBYP, 0.00010151476, 9692.31, 73.92, 697.79
YYYYYYBBBP, 0.00015617655, 12609.72, 120.13, 1076.92
YYYYYYPPPP, 0.0000064959695, 12609.72, 0.00, 147.85
YYYYYYPPYB, 0.000055833116, 9692.31, 697.79, 73.92
YYYYYYPPYP, 0.00003070822, 9692.31, 0.00, 120.13
YYYYYYPPBP, 0.00004724341, 12609.72, 1076.92, 120.13
YYYYYYYBYB, 0.00011997197, 1467.53, 10024.79, 0.00
YYYYYYYBYP, 0.00013196917, 1467.53, 6539.54, 5012.40
YYYYYYYBBP, 0.0002030295, 9692.31, 92.41, 622.88
YYYYYYYPYP, 0.000036291527, 6228.76, 0.00, 92.41
YYYYYYYPBP, 0.00011166624, 9692.31, 622.88, 92.41
YYYYYYBPBP, 0.00008589711, 12609.72, 1245.75, 92.41
