starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00024092835, 221.77, 0.00, 0.00
YYYYBB, 0.0010095095, 2232.93, 73.92, 0.00
YYYYPP, 0.000722785, 2232.93, 0.00, 73.92
YYYYYB, 0.0017084009, 249.64, 2681.66, 0.00
YYYYYP, 0.00144557, 249.64, 0.00, 2681.66
YYYYBP, 0.0017084009, 147.85, 2681.66, 2400.66
YYBBBB, 0.0014099759, 4203.24, 147.85, 0.00
YYBBPP, 0.002019019, 4203.24, 1116.47, 73.92
YYBBYB, 0.004772227, 3948.72, 120.13, 0.00
YYBBYP, 0.004038038, 3948.72, 73.92, 697.79
YYBBBP, 0.004772227, 4203.24, 120.13, 1076.92
YYPPPP, 0.000722785, 4203.24, 0.00, 147.85
YYPPYB, 0.0034168018, 3948.72, 697.79, 73.92
YYPPYP, 0.00289114, 3948.72, 0.00, 120.13
YYPPBP, 0.0034168018, 4203.24, 1076.92, 120.13
YYYBYB, 0.004038038, 2906.75, 92.41, 0.00
YYYBYP, 0.0068336036, 2906.75, 187.29, 46.20
YYYBBP, 0.008076076, 3948.72, 92.41, 622.88
YYYPYP, 0.00289114, 2906.75, 0.00, 92.41
YYYPBP, 0.0068336036, 3948.72, 622.88, 92.41
YYBPBP, 0.004038038, 4203.24, 1245.75, 92.41
BBBBBB, 0.000656435, 0.00, 221.77, 0.00
BBBBPP, 0.0014099759, 0.00, 147.85, 4203.24
BBBBYB, 0.0033326703, 2681.66, 249.64, 0.00
BBBBYP, 0.0028199519, 2681.66, 147.85, 2400.66
BBBBBP, 0.0033326703, 0.00, 249.64, 2681.66
BBPPPP, 0.0010095095, 0.00, 4203.24, 147.85
BBPPYB, 0.004772227, 2455.30, 120.13, 2871.80
BBPPYP, 0.004038038, 2455.30, 2871.80, 120.13
BBPPBP, 0.004772227, 0.00, 3948.72, 120.13
BBYBYB, 0.005639904, 3827.11, 182.21, 0.00
BBYBYP, 0.009544453, 3827.11, 120.13, 1785.91
BBYBBP, 0.011279807, 2672.71, 389.81, 1379.62
BBYPYP, 0.004038038, 3818.15, 1661.00, 92.41
BBYPBP, 0.009544454, 2681.66, 120.13, 2931.36
BBBPBP, 0.005639904, 0.00, 182.21, 3827.11
PPPPPP, 0.00024092835, 0.00, 0.00, 221.77
PPPPYB, 0.0017084009, 2681.66, 2400.66, 147.85
PPPPYP, 0.00144557, 2681.66, 0.00, 249.64
PPPPBP, 0.0017084009, 0.00, 2681.66, 249.64
PPYBYB, 0.004038038, 3827.11, 1477.54, 73.92
PPYBYP, 0.0068336036, 3827.11, 1785.91, 120.13
PPYBBP, 0.008076076, 2681.66, 2931.36, 120.13
PPYPYP, 0.00289114, 3827.11, 0.00, 182.21
PPYPBP, 0.0068336036, 2672.71, 1379.62, 389.81
PPBPBP, 0.004038038, 0.00, 3827.11, 182.21
YBYBYB, 0.0031814845, 4138.87, 138.61, 0.00
YBYBYP, 0.008076076, 4138.87, 92.41, 1038.13
YBYBBP, 0.009544454, 3818.15, 138.61, 1379.62
YBYPYP, 0.0068336036, 4138.87, 1038.13, 92.41
YBYPBP, 0.016152153, 3827.11, 1742.96, 92.41
YBBPBP, 0.009544454, 2681.66, 2570.73, 92.41
YPYPYP, 0.0019274268, 4138.87, 0.00, 138.61
YPYPBP, 0.0068336036, 3818.15, 1379.62, 138.61
YPBPBP, 0.008076076, 2455.30, 2759.24, 138.61
BPBPBP, 0.0031814845, 0.00, 4138.87, 138.61
YYYYYYYY, 0.00004759564, 295.70, 0.00, 0.00
YYYYYYBB, 0.0002659062, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00019038258, 221.77, 0.00, 8019.83
YYYYYYYB, 0.00044999513, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00038076515, 334.15, 0.00, 5012.40
YYYYYYBP, 0.00044999513, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.0005570844, 8406.48, 147.85, 0.00
YYYYBBPP, 0.00079771853, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0018855165, 6820.52, 120.13, 0.00
YYYYBBYP, 0.0015954371, 6820.52, 73.92, 697.79
YYYYBBBP, 0.0018855165, 8406.48, 120.13, 1076.92
