starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00008068644, 221.77, 0.00, 0.00
YYYYBB, 0.00024205932, 2232.93, 73.92, 0.00
YYYYPP, 0.0008001961, 2232.93, 0.00, 73.92
YYYYYB, 0.00048411865, 249.64, 2681.66, 0.00
YYYYYP, 0.00088021567, 249.64, 0.00, 2681.66
YYYYBP, 0.00088021567, 147.85, 2681.66, 2400.66
YYBBBB, 0.00024205932, 4203.24, 147.85, 0.00
YYBBPP, 0.0016003922, 4203.24, 1116.47, 73.92
YYBBYB, 0.0009682373, 3948.72, 120.13, 0.00
YYBBYP, 0.0017604313, 3948.72, 73.92, 697.79
YYBBBP, 0.0017604313, 4203.24, 120.13, 1076.92
YYPPPP, 0.0026452763, 4203.24, 0.00, 147.85
YYPPYB, 0.003200784, 3948.72, 697.79, 73.92
YYPPYP, 0.0058196075, 3948.72, 0.00, 120.13
YYPPBP, 0.0058196075, 4203.24, 1076.92, 120.13
YYYBYB, 0.0009682373, 2906.75, 92.41, 0.00
YYYBYP, 0.0035208627, 2906.75, 187.29, 46.20
YYYBBP, 0.0035208627, 3948.72, 92.41, 622.88
YYYPYP, 0.003200784, 2906.75, 0.00, 92.41
YYYPBP, 0.006401568, 3948.72, 622.88, 92.41
YYBPBP, 0.003200784, 4203.24, 1245.75, 92.41
BBBBBB, 0.00008068644, 0.00, 221.77, 0.00
BBBBPP, 0.0008001961, 0.00, 147.85, 4203.24
BBBBYB, 0.00048411865, 2681.66, 249.64, 0.00
BBBBYP, 0.00088021567, 2681.66, 147.85, 2400.66
BBBBBP, 0.00088021567, 0.00, 249.64, 2681.66
BBPPPP, 0.0026452763, 0.00, 4203.24, 147.85
BBPPYB, 0.003200784, 2455.30, 120.13, 2871.80
BBPPYP, 0.0058196075, 2455.30, 2871.80, 120.13
BBPPBP, 0.0058196075, 0.00, 3948.72, 120.13
BBYBYB, 0.0009682373, 3827.11, 182.21, 0.00
BBYBYP, 0.0035208627, 3827.11, 120.13, 1785.91
BBYBBP, 0.0035208627, 2672.71, 389.81, 1379.62
BBYPYP, 0.003200784, 3818.15, 1661.00, 92.41
BBYPBP, 0.006401568, 2681.66, 120.13, 2931.36
BBBPBP, 0.003200784, 0.00, 182.21, 3827.11
PPPPPP, 0.0029149048, 0.00, 0.00, 221.77
PPPPYB, 0.0052905525, 2681.66, 2400.66, 147.85
PPPPYP, 0.009619186, 2681.66, 0.00, 249.64
PPPPBP, 0.009619186, 0.00, 2681.66, 249.64
PPYBYB, 0.0032007843, 3827.11, 1477.54, 73.92
PPYBYP, 0.011639215, 3827.11, 1785.91, 120.13
PPYBBP, 0.011639215, 2681.66, 2931.36, 120.13
PPYPYP, 0.010581104, 3827.11, 0.00, 182.21
PPYPBP, 0.021162208, 2672.71, 1379.62, 389.81
PPBPBP, 0.010581104, 0.00, 3827.11, 182.21
YBYBYB, 0.0006454915, 4138.87, 138.61, 0.00
YBYBYP, 0.0035208627, 4138.87, 92.41, 1038.13
YBYBBP, 0.0035208627, 3818.15, 138.61, 1379.62
YBYPYP, 0.006401568, 4138.87, 1038.13, 92.41
YBYPBP, 0.012803136, 3827.11, 1742.96, 92.41
YBBPBP, 0.006401568, 2681.66, 2570.73, 92.41
YPYPYP, 0.0038797383, 4138.87, 0.00, 138.61
YPYPBP, 0.011639214, 3818.15, 1379.62, 138.61
YPBPBP, 0.011639214, 2455.30, 2759.24, 138.61
BPBPBP, 0.0038797383, 0.00, 4138.87, 138.61
YYYYYYYY, 0.000011069229, 295.70, 0.00, 0.00
YYYYYYBB, 0.00004427692, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00014636997, 221.77, 0.00, 8019.83
YYYYYYYB, 0.00008855384, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00016100697, 334.15, 0.00, 5012.40
