starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00023283064, 221.77, 0.00, 0.00
YYYYBB, 0.0012417634, 2232.93, 73.92, 0.00
YYYYPP, 0.000524645, 2232.93, 0.00, 73.92
YYYYYB, 0.001862645, 249.64, 2681.66, 0.00
YYYYYP, 0.0012107192, 249.64, 0.00, 2681.66
YYYYBP, 0.0016142922, 147.85, 2681.66, 2400.66
YYBBBB, 0.002207579, 4203.24, 147.85, 0.00
YYBBPP, 0.0018654042, 4203.24, 1116.47, 73.92
YYBBYB, 0.006622738, 3948.72, 120.13, 0.00
YYBBYP, 0.004304779, 3948.72, 73.92, 697.79
YYBBBP, 0.0057397056, 4203.24, 120.13, 1076.92
YYPPPP, 0.00039406662, 4203.24, 0.00, 147.85
YYPPYB, 0.0027981063, 3948.72, 697.79, 73.92
YYPPYP, 0.0018187689, 3948.72, 0.00, 120.13
YYPPBP, 0.0024250252, 4203.24, 1076.92, 120.13
YYYBYB, 0.0049670534, 2906.75, 92.41, 0.00
YYYBYP, 0.0064571686, 2906.75, 187.29, 46.20
YYYBBP, 0.008609558, 3948.72, 92.41, 622.88
YYYPYP, 0.0020985797, 2906.75, 0.00, 92.41
YYYPBP, 0.005596213, 3948.72, 622.88, 92.41
YYBPBP, 0.0037308082, 4203.24, 1245.75, 92.41
BBBBBB, 0.0013081951, 0.00, 221.77, 0.00
BBBBPP, 0.0016581371, 0.00, 147.85, 4203.24
BBBBYB, 0.0058868774, 2681.66, 249.64, 0.00
BBBBYP, 0.00382647, 2681.66, 147.85, 2400.66
BBBBBP, 0.00510196, 0.00, 249.64, 2681.66
BBPPPP, 0.00070056284, 0.00, 4203.24, 147.85
BBPPYB, 0.0049744113, 2455.30, 120.13, 2871.80
BBPPYP, 0.003233367, 2455.30, 2871.80, 120.13
BBPPBP, 0.004311156, 0.00, 3948.72, 120.13
BBYBYB, 0.008830317, 3827.11, 182.21, 0.00
BBYBYP, 0.01147941, 3827.11, 120.13, 1785.91
BBYBBP, 0.01530588, 2672.71, 389.81, 1379.62
BBYPYP, 0.0037308082, 3818.15, 1661.00, 92.41
BBYPBP, 0.009948823, 2681.66, 120.13, 2931.36
BBBPBP, 0.006632548, 0.00, 182.21, 3827.11
PPPPPP, 0.00009866259, 0.00, 0.00, 221.77
PPPPYB, 0.0010508443, 2681.66, 2400.66, 147.85
PPPPYP, 0.00068304874, 2681.66, 0.00, 249.64
PPPPBP, 0.0009107316, 0.00, 2681.66, 249.64
PPYBYB, 0.0037308084, 3827.11, 1477.54, 73.92
PPYBYP, 0.0048500504, 3827.11, 1785.91, 120.13
PPYBBP, 0.006466734, 2681.66, 2931.36, 120.13
PPYPYP, 0.0015762663, 3827.11, 0.00, 182.21
PPYPBP, 0.004203377, 2672.71, 1379.62, 389.81
