starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00017261799, 221.77, 0.00, 0.00
YYYYBB, 0.00096295145, 2232.93, 73.92, 0.00
YYYYPP, 0.00051785394, 2232.93, 0.00, 73.92
YYYYYB, 0.0014123288, 249.64, 2681.66, 0.00
YYYYYP, 0.0010357079, 249.64, 0.00, 2681.66
YYYYBP, 0.0014123288, 147.85, 2681.66, 2400.66
YYBBBB, 0.0017906122, 4203.24, 147.85, 0.00
YYBBPP, 0.0019259031, 4203.24, 1116.47, 73.92
YYBBYB, 0.0052524623, 3948.72, 120.13, 0.00
YYBBYP, 0.0038518063, 3948.72, 73.92, 697.79
YYBBBP, 0.0052524623, 4203.24, 120.13, 1076.92
YYPPPP, 0.00051785394, 4203.24, 0.00, 147.85
YYPPYB, 0.0028246576, 3948.72, 697.79, 73.92
YYPPYP, 0.0020714158, 3948.72, 0.00, 120.13
YYPPBP, 0.0028246576, 4203.24, 1076.92, 120.13
YYYBYB, 0.0038518058, 2906.75, 92.41, 0.00
YYYBYP, 0.005649315, 2906.75, 187.29, 46.20
YYYBBP, 0.0077036116, 3948.72, 92.41, 622.88
YYYPYP, 0.0020714158, 2906.75, 0.00, 92.41
YYYPBP, 0.005649315, 3948.72, 622.88, 92.41
YYBPBP, 0.0038518058, 4203.24, 1245.75, 92.41
BBBBBB, 0.0011098835, 0.00, 221.77, 0.00
BBBBPP, 0.0017906122, 0.00, 147.85, 4203.24
BBBBYB, 0.0048834877, 2681.66, 249.64, 0.00
BBBBYP, 0.0035812245, 2681.66, 147.85, 2400.66
BBBBBP, 0.0048834877, 0.00, 249.64, 2681.66
BBPPPP, 0.00096295145, 0.00, 4203.24, 147.85
BBPPYB, 0.0052524623, 2455.30, 120.13, 2871.80
BBPPYP, 0.0038518063, 2455.30, 2871.80, 120.13
BBPPBP, 0.0052524623, 0.00, 3948.72, 120.13
BBYBYB, 0.007162448, 3827.11, 182.21, 0.00
BBYBYP, 0.010504926, 3827.11, 120.13, 1785.91
BBYBBP, 0.014324898, 2672.71, 389.81, 1379.62
BBYPYP, 0.0038518058, 3818.15, 1661.00, 92.41
BBYPBP, 0.010504925, 2681.66, 120.13, 2931.36
BBBPBP, 0.007162448, 0.00, 182.21, 3827.11
PPPPPP, 0.00017261799, 0.00, 0.00, 221.77
PPPPYB, 0.0014123288, 2681.66, 2400.66, 147.85
PPPPYP, 0.0010357079, 2681.66, 0.00, 249.64
PPPPBP, 0.0014123288, 0.00, 2681.66, 249.64
PPYBYB, 0.0038518058, 3827.11, 1477.54, 73.92
PPYBYP, 0.005649315, 3827.11, 1785.91, 120.13
PPYBBP, 0.0077036116, 2681.66, 2931.36, 120.13
PPYPYP, 0.0020714158, 3827.11, 0.00, 182.21
PPYPBP, 0.005649315, 2672.71, 1379.62, 389.81
PPBPBP, 0.0038518058, 0.00, 3827.11, 182.21
YBYBYB, 0.0035016413, 4138.87, 138.61, 0.00
YBYBYP, 0.0077036116, 4138.87, 92.41, 1038.13
YBYBBP, 0.010504924, 3818.15, 138.61, 1379.62
YBYPYP, 0.005649315, 4138.87, 1038.13, 92.41
YBYPBP, 0.015407223, 3827.11, 1742.96, 92.41
YBBPBP, 0.010504924, 2681.66, 2570.73, 92.41
YPYPYP, 0.0013809439, 4138.87, 0.00, 138.61
YPYPBP, 0.005649315, 3818.15, 1379.62, 138.61
YPBPBP, 0.0077036116, 2455.30, 2759.24, 138.61
BPBPBP, 0.0035016413, 0.00, 4138.87, 138.61
