starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00047031598, 221.77, 0.00, 0.00
YYYYBB, 0.0014109479, 2232.93, 73.92, 0.00
YYYYPP, 0.0010102056, 2232.93, 0.00, 73.92
YYYYYB, 0.0028218958, 249.64, 2681.66, 0.00
YYYYYP, 0.0023877586, 249.64, 0.00, 2681.66
YYYYBP, 0.0023877586, 147.85, 2681.66, 2400.66
YYBBBB, 0.0014109479, 4203.24, 147.85, 0.00
YYBBPP, 0.0020204112, 4203.24, 1116.47, 73.92
YYBBYB, 0.0056437915, 3948.72, 120.13, 0.00
YYBBYP, 0.004775517, 3948.72, 73.92, 697.79
YYBBBP, 0.004775517, 4203.24, 120.13, 1076.92
YYPPPP, 0.0007232834, 4203.24, 0.00, 147.85
YYPPYB, 0.0040408224, 3948.72, 697.79, 73.92
YYPPYP, 0.0034191578, 3948.72, 0.00, 120.13
YYPPBP, 0.0034191578, 4203.24, 1076.92, 120.13
YYYBYB, 0.0056437915, 2906.75, 92.41, 0.00
YYYBYP, 0.009551034, 2906.75, 187.29, 46.20
YYYBBP, 0.009551034, 3948.72, 92.41, 622.88
YYYPYP, 0.0040408224, 2906.75, 0.00, 92.41
YYYPBP, 0.008081645, 3948.72, 622.88, 92.41
YYBPBP, 0.0040408224, 4203.24, 1245.75, 92.41
BBBBBB, 0.00047031598, 0.00, 221.77, 0.00
BBBBPP, 0.0010102056, 0.00, 147.85, 4203.24
BBBBYB, 0.0028218958, 2681.66, 249.64, 0.00
BBBBYP, 0.0023877586, 2681.66, 147.85, 2400.66
BBBBBP, 0.0023877586, 0.00, 249.64, 2681.66
BBPPPP, 0.0007232834, 0.00, 4203.24, 147.85
BBPPYB, 0.0040408224, 2455.30, 120.13, 2871.80
BBPPYP, 0.0034191578, 2455.30, 2871.80, 120.13
BBPPBP, 0.0034191578, 0.00, 3948.72, 120.13
BBYBYB, 0.0056437915, 3827.11, 182.21, 0.00
BBYBYP, 0.009551034, 3827.11, 120.13, 1785.91
BBYBBP, 0.009551034, 2672.71, 389.81, 1379.62
BBYPYP, 0.0040408224, 3818.15, 1661.00, 92.41
BBYPBP, 0.008081645, 2681.66, 120.13, 2931.36
BBBPBP, 0.0040408224, 0.00, 182.21, 3827.11
PPPPPP, 0.00017261799, 0.00, 0.00, 221.77
PPPPYB, 0.0014465668, 2681.66, 2400.66, 147.85
PPPPYP, 0.0012240183, 2681.66, 0.00, 249.64
PPPPBP, 0.0012240183, 0.00, 2681.66, 249.64
PPYBYB, 0.0040408224, 3827.11, 1477.54, 73.92
PPYBYP, 0.0068383156, 3827.11, 1785.91, 120.13
PPYBBP, 0.0068383156, 2681.66, 2931.36, 120.13
PPYPYP, 0.002893134, 3827.11, 0.00, 182.21
PPYPBP, 0.005786268, 2672.71, 1379.62, 389.81
PPBPBP, 0.002893134, 0.00, 3827.11, 182.21
YBYBYB, 0.0037625278, 4138.87, 138.61, 0.00
YBYBYP, 0.009551034, 4138.87, 92.41, 1038.13
YBYBBP, 0.009551034, 3818.15, 138.61, 1379.62
YBYPYP, 0.008081645, 4138.87, 1038.13, 92.41
YBYPBP, 0.01616329, 3827.11, 1742.96, 92.41
YBBPBP, 0.008081645, 2681.66, 2570.73, 92.41
YPYPYP, 0.0022794388, 4138.87, 0.00, 138.61
YPYPBP, 0.006838316, 3818.15, 1379.62, 138.61
YPBPBP, 0.006838316, 2455.30, 2759.24, 138.61
BPBPBP, 0.0022794388, 0.00, 4138.87, 138.61
YYYYYYYY, 0.000116118914, 295.70, 0.00, 0.00
YYYYYYBB, 0.00046447566, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00033255367, 221.77, 0.00, 8019.83
YYYYYYYB, 0.0009289513, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00078603585, 334.15, 0.00, 5012.40
YYYYYYBP, 0.00078603585, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.00069671345, 8406.48, 147.85, 0.00
YYYYBBPP, 0.000997661, 8406.48, 1116.47, 73.92
