starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0001726179, 221.77, 0.00, 0.00
YYYYBB, 0.0005178537, 2232.93, 73.92, 0.00
YYYYPP, 0.000962951, 2232.93, 0.00, 73.92
YYYYYB, 0.0010357074, 249.64, 2681.66, 0.00
YYYYYP, 0.0014123282, 249.64, 0.00, 2681.66
YYYYBP, 0.0014123282, 147.85, 2681.66, 2400.66
YYBBBB, 0.0005178537, 4203.24, 147.85, 0.00
YYBBPP, 0.001925902, 4203.24, 1116.47, 73.92
YYBBYB, 0.0020714148, 3948.72, 120.13, 0.00
YYBBYP, 0.0028246564, 3948.72, 73.92, 697.79
YYBBBP, 0.0028246564, 4203.24, 120.13, 1076.92
YYPPPP, 0.0017906111, 4203.24, 0.00, 147.85
YYPPYB, 0.003851804, 3948.72, 697.79, 73.92
YYPPYP, 0.00525246, 3948.72, 0.00, 120.13
YYPPBP, 0.00525246, 4203.24, 1076.92, 120.13
YYYBYB, 0.0020714148, 2906.75, 92.41, 0.00
YYYBYP, 0.005649313, 2906.75, 187.29, 46.20
YYYBBP, 0.005649313, 3948.72, 92.41, 622.88
YYYPYP, 0.003851804, 2906.75, 0.00, 92.41
YYYPBP, 0.007703609, 3948.72, 622.88, 92.41
YYBPBP, 0.003851804, 4203.24, 1245.75, 92.41
BBBBBB, 0.0001726179, 0.00, 221.77, 0.00
BBBBPP, 0.000962951, 0.00, 147.85, 4203.24
BBBBYB, 0.0010357074, 2681.66, 249.64, 0.00
BBBBYP, 0.0014123282, 2681.66, 147.85, 2400.66
BBBBBP, 0.0014123282, 0.00, 249.64, 2681.66
BBPPPP, 0.0017906111, 0.00, 4203.24, 147.85
BBPPYB, 0.003851804, 2455.30, 120.13, 2871.80
BBPPYP, 0.00525246, 2455.30, 2871.80, 120.13
BBPPBP, 0.00525246, 0.00, 3948.72, 120.13
BBYBYB, 0.0020714148, 3827.11, 182.21, 0.00
BBYBYP, 0.005649313, 3827.11, 120.13, 1785.91
BBYBBP, 0.005649313, 2672.71, 389.81, 1379.62
BBYPYP, 0.003851804, 3818.15, 1661.00, 92.41
BBYPBP, 0.007703609, 2681.66, 120.13, 2931.36
BBBPBP, 0.003851804, 0.00, 182.21, 3827.11
PPPPPP, 0.0011098828, 0.00, 0.00, 221.77
PPPPYB, 0.0035812221, 2681.66, 2400.66, 147.85
PPPPYP, 0.004883485, 2681.66, 0.00, 249.64
PPPPBP, 0.004883485, 0.00, 2681.66, 249.64
PPYBYB, 0.003851804, 3827.11, 1477.54, 73.92
PPYBYP, 0.01050492, 3827.11, 1785.91, 120.13
PPYBBP, 0.01050492, 2681.66, 2931.36, 120.13
PPYPYP, 0.007162445, 3827.11, 0.00, 182.21
PPYPBP, 0.01432489, 2672.71, 1379.62, 389.81
PPBPBP, 0.007162445, 0.00, 3827.11, 182.21
YBYBYB, 0.0013809432, 4138.87, 138.61, 0.00
YBYBYP, 0.005649313, 4138.87, 92.41, 1038.13
YBYBBP, 0.005649313, 3818.15, 138.61, 1379.62
YBYPYP, 0.007703608, 4138.87, 1038.13, 92.41
YBYPBP, 0.015407218, 3827.11, 1742.96, 92.41
YBBPBP, 0.007703608, 2681.66, 2570.73, 92.41
YPYPYP, 0.0035016402, 4138.87, 0.00, 138.61
YPYPBP, 0.01050492, 3818.15, 1379.62, 138.61
YPBPBP, 0.01050492, 2455.30, 2759.24, 138.61
BPBPBP, 0.0035016402, 0.00, 4138.87, 138.61
YYYYYYYY, 0.000030513902, 295.70, 0.00, 0.00
YYYYYYBB, 0.000122055615, 221.77, 8019.83, 0.00
YYYYYYPP, 0.0002269629, 221.77, 0.00, 8019.83
YYYYYYYB, 0.00024411123, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00033287893, 334.15, 0.00, 5012.40
YYYYYYBP, 0.00033287893, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.00018308342, 8406.48, 147.85, 0.00
YYYYBBPP, 0.0006808887, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0007323337, 6820.52, 120.13, 0.00
YYYYBBYP, 0.0009986368, 6820.52, 73.92, 697.79
YYYYBBBP, 0.0009986368, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.0006330576, 8406.48, 0.00, 147.85
YYYYPPYB, 0.0013617774, 6820.52, 697.79, 73.92
YYYYPPYP, 0.0018569691, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0018569691, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.0007323337, 4567.76, 92.41, 0.00
YYYYYBYP, 0.0019972736, 4567.76, 187.29, 46.20
YYYYYBBP, 0.0019972736, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0013617774, 4567.76, 0.00, 92.41
YYYYYPBP, 0.0027235548, 6820.52, 622.88, 92.41
