starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0016887803, 221.77, 0.00, 0.00
YYYYBB, 0.0028498168, 2232.93, 73.92, 0.00
YYYYPP, 0.0015325681, 2232.93, 0.00, 73.92
YYYYYB, 0.007599511, 249.64, 2681.66, 0.00
YYYYYP, 0.0055729747, 249.64, 0.00, 2681.66
YYYYBP, 0.004179731, 147.85, 2681.66, 2400.66
YYBBBB, 0.0016030218, 4203.24, 147.85, 0.00
YYBBPP, 0.001724139, 4203.24, 1116.47, 73.92
YYBBYB, 0.008549449, 3948.72, 120.13, 0.00
YYBBYP, 0.0062695965, 3948.72, 73.92, 697.79
YYBBBP, 0.004702197, 4203.24, 120.13, 1076.92
YYPPPP, 0.0004636019, 4203.24, 0.00, 147.85
YYPPYB, 0.0045977044, 3948.72, 697.79, 73.92
YYPPYP, 0.00337165, 3948.72, 0.00, 120.13
YYPPBP, 0.0025287373, 4203.24, 1076.92, 120.13
YYYBYB, 0.011399266, 2906.75, 92.41, 0.00
YYYBYP, 0.016718924, 2906.75, 187.29, 46.20
YYYBBP, 0.012539191, 3948.72, 92.41, 622.88
YYYPYP, 0.0061302725, 2906.75, 0.00, 92.41
YYYPBP, 0.009195408, 3948.72, 622.88, 92.41
YYBPBP, 0.003448278, 4203.24, 1245.75, 92.41
BBBBBB, 0.00030056658, 0.00, 221.77, 0.00
BBBBPP, 0.0004849141, 0.00, 147.85, 4203.24
BBBBYB, 0.0024045324, 2681.66, 249.64, 0.00
BBBBYP, 0.001763324, 2681.66, 147.85, 2400.66
BBBBBP, 0.001322493, 0.00, 249.64, 2681.66
BBPPPP, 0.00026077605, 0.00, 4203.24, 147.85
BBPPYB, 0.0025862085, 2455.30, 120.13, 2871.80
BBPPYP, 0.001896553, 2455.30, 2871.80, 120.13
BBPPBP, 0.0014224147, 0.00, 3948.72, 120.13
BBYBYB, 0.006412087, 3827.11, 182.21, 0.00
BBYBYP, 0.009404394, 3827.11, 120.13, 1785.91
BBYBBP, 0.007053295, 2672.71, 389.81, 1379.62
BBYPYP, 0.0034482782, 3818.15, 1661.00, 92.41
BBYPBP, 0.0051724175, 2681.66, 120.13, 2931.36
BBBPBP, 0.0019396562, 0.00, 182.21, 3827.11
PPPPPP, 0.000046746525, 0.00, 0.00, 221.77
PPPPYB, 0.0006954028, 2681.66, 2400.66, 147.85
PPPPYP, 0.0005099621, 2681.66, 0.00, 249.64
PPPPBP, 0.00038247157, 0.00, 2681.66, 249.64
PPYBYB, 0.003448278, 3827.11, 1477.54, 73.92
PPYBYP, 0.0050574746, 3827.11, 1785.91, 120.13
PPYBBP, 0.003793106, 2681.66, 2931.36, 120.13
PPYPYP, 0.0018544076, 3827.11, 0.00, 182.21
PPYPBP, 0.0027816112, 2672.71, 1379.62, 389.81
PPBPBP, 0.0010431041, 0.00, 3827.11, 182.21
YBYBYB, 0.0056996327, 4138.87, 138.61, 0.00
YBYBYP, 0.012539193, 4138.87, 92.41, 1038.13
YBYBBP, 0.009404394, 3818.15, 138.61, 1379.62
YBYPYP, 0.009195409, 4138.87, 1038.13, 92.41
YBYPBP, 0.013793112, 3827.11, 1742.96, 92.41
YBBPBP, 0.0051724166, 2681.66, 2570.73, 92.41
YPYPYP, 0.0022477666, 4138.87, 0.00, 138.61
YPYPBP, 0.0050574746, 3818.15, 1379.62, 138.61
YPBPBP, 0.0037931055, 2455.30, 2759.24, 138.61
BPBPBP, 0.0009482764, 0.00, 4138.87, 138.61
YYYYYYYY, 0.0006384803, 295.70, 0.00, 0.00
YYYYYYBB, 0.0014365807, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00077256124, 221.77, 0.00, 8019.83
YYYYYYYB, 0.0038308818, 334.15, 5012.40, 0.00
YYYYYYYP, 0.0028093134, 334.15, 0.00, 5012.40
YYYYYYBP, 0.002106985, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.0012121149, 8406.48, 147.85, 0.00
YYYYBBPP, 0.001303697, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0064646136, 6820.52, 120.13, 0.00
YYYYBBYP, 0.0047407164, 6820.52, 73.92, 697.79
YYYYBBBP, 0.0035555372, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.00035054967, 8406.48, 0.00, 147.85
YYYYPPYB, 0.0034765252, 6820.52, 697.79, 73.92
YYYYPPYP, 0.002549452, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0019120891, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.008619484, 4567.76, 92.41, 0.00
YYYYYBYP, 0.01264191, 4567.76, 187.29, 46.20
YYYYYBBP, 0.009481432, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0046353675, 4567.76, 0.00, 92.41
YYYYYPBP, 0.0069530504, 6820.52, 622.88, 92.41
YYYYBPBP, 0.0026073938, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.00045454307, 8019.83, 221.77, 0.00
YYBBBBPP, 0.00073332945, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.0036363443, 9002.76, 194.05, 0.00
