starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0004703158, 221.77, 0.00, 0.00
YYYYBB, 0.0010102051, 2232.93, 73.92, 0.00
YYYYPP, 0.0014109474, 2232.93, 0.00, 73.92
YYYYYB, 0.0023877574, 249.64, 2681.66, 0.00
YYYYYP, 0.0028218948, 249.64, 0.00, 2681.66
YYYYBP, 0.0023877574, 147.85, 2681.66, 2400.66
YYBBBB, 0.00072328316, 4203.24, 147.85, 0.00
YYBBPP, 0.0020204105, 4203.24, 1116.47, 73.92
YYBBYB, 0.0034191564, 3948.72, 120.13, 0.00
YYBBYP, 0.004040821, 3948.72, 73.92, 697.79
YYBBBP, 0.0034191564, 4203.24, 120.13, 1076.92
YYPPPP, 0.0014109474, 4203.24, 0.00, 147.85
YYPPYB, 0.004775515, 3948.72, 697.79, 73.92
YYPPYP, 0.0056437897, 3948.72, 0.00, 120.13
YYPPBP, 0.004775515, 4203.24, 1076.92, 120.13
YYYBYB, 0.0040408205, 2906.75, 92.41, 0.00
YYYBYP, 0.00955103, 2906.75, 187.29, 46.20
YYYBBP, 0.008081641, 3948.72, 92.41, 622.88
YYYPYP, 0.0056437897, 2906.75, 0.00, 92.41
YYYPBP, 0.00955103, 3948.72, 622.88, 92.41
YYBPBP, 0.0040408205, 4203.24, 1245.75, 92.41
BBBBBB, 0.0001726179, 0.00, 221.77, 0.00
BBBBPP, 0.00072328316, 0.00, 147.85, 4203.24
BBBBYB, 0.0012240177, 2681.66, 249.64, 0.00
BBBBYP, 0.0014465663, 2681.66, 147.85, 2400.66
BBBBBP, 0.0012240177, 0.00, 249.64, 2681.66
BBPPPP, 0.0010102051, 0.00, 4203.24, 147.85
BBPPYB, 0.0034191564, 2455.30, 120.13, 2871.80
BBPPYP, 0.004040821, 2455.30, 2871.80, 120.13
BBPPBP, 0.0034191564, 0.00, 3948.72, 120.13
BBYBYB, 0.0028931324, 3827.11, 182.21, 0.00
BBYBYP, 0.0068383124, 3827.11, 120.13, 1785.91
BBYBBP, 0.0057862643, 2672.71, 389.81, 1379.62
BBYPYP, 0.0040408205, 3818.15, 1661.00, 92.41
BBYPBP, 0.006838313, 2681.66, 120.13, 2931.36
BBBPBP, 0.0028931324, 0.00, 182.21, 3827.11
PPPPPP, 0.0004703158, 0.00, 0.00, 221.77
PPPPYB, 0.0023877574, 2681.66, 2400.66, 147.85
PPPPYP, 0.0028218948, 2681.66, 0.00, 249.64
PPPPBP, 0.0023877574, 0.00, 2681.66, 249.64
PPYBYB, 0.0040408205, 3827.11, 1477.54, 73.92
