starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0005994935, 221.77, 0.00, 0.00
YYYYBB, 0.0009671829, 2232.93, 73.92, 0.00
YYYYPP, 0.0017984805, 2232.93, 0.00, 73.92
YYYYYB, 0.0026377714, 249.64, 2681.66, 0.00
YYYYYP, 0.003596961, 249.64, 0.00, 2681.66
YYYYBP, 0.0026377714, 147.85, 2681.66, 2400.66
YYBBBB, 0.00052012946, 4203.24, 147.85, 0.00
YYBBPP, 0.0019343658, 4203.24, 1116.47, 73.92
YYBBYB, 0.0028370698, 3948.72, 120.13, 0.00
YYBBYP, 0.0038687317, 3948.72, 73.92, 697.79
YYBBBP, 0.0028370698, 4203.24, 120.13, 1076.92
YYPPPP, 0.0017984805, 4203.24, 0.00, 147.85
YYPPYB, 0.005275543, 3948.72, 697.79, 73.92
YYPPYP, 0.007193922, 3948.72, 0.00, 120.13
YYPPBP, 0.005275543, 4203.24, 1076.92, 120.13
YYYBYB, 0.0038687317, 2906.75, 92.41, 0.00
YYYBYP, 0.010551086, 2906.75, 187.29, 46.20
YYYBBP, 0.0077374624, 3948.72, 92.41, 622.88
YYYPYP, 0.007193922, 2906.75, 0.00, 92.41
YYYPBP, 0.010551086, 3948.72, 622.88, 92.41
YYBPBP, 0.0038687317, 4203.24, 1245.75, 92.41
BBBBBB, 0.00009323802, 0.00, 221.77, 0.00
BBBBPP, 0.00052012946, 0.00, 147.85, 4203.24
BBBBYB, 0.00076285657, 2681.66, 249.64, 0.00
BBBBYP, 0.0010402589, 2681.66, 147.85, 2400.66
BBBBBP, 0.00076285657, 0.00, 249.64, 2681.66
BBPPPP, 0.0009671829, 0.00, 4203.24, 147.85
BBPPYB, 0.0028370698, 2455.30, 120.13, 2871.80
BBPPYP, 0.0038687317, 2455.30, 2871.80, 120.13
BBPPBP, 0.0028370698, 0.00, 3948.72, 120.13
BBYBYB, 0.0020805178, 3827.11, 182.21, 0.00
BBYBYP, 0.0056741396, 3827.11, 120.13, 1785.91
BBYBBP, 0.0041610356, 2672.71, 389.81, 1379.62
BBYPYP, 0.0038687317, 3818.15, 1661.00, 92.41
BBYPBP, 0.0056741396, 2681.66, 120.13, 2931.36
BBBPBP, 0.0020805178, 0.00, 182.21, 3827.11
PPPPPP, 0.0005994935, 0.00, 0.00, 221.77
PPPPYB, 0.0026377714, 2681.66, 2400.66, 147.85
PPPPYP, 0.003596961, 2681.66, 0.00, 249.64
PPPPBP, 0.0026377714, 0.00, 2681.66, 249.64
PPYBYB, 0.0038687317, 3827.11, 1477.54, 73.92
PPYBYP, 0.010551086, 3827.11, 1785.91, 120.13
PPYBBP, 0.0077374624, 2681.66, 2931.36, 120.13
PPYPYP, 0.007193922, 3827.11, 0.00, 182.21
PPYPBP, 0.010551086, 2672.71, 1379.62, 389.81
PPBPBP, 0.0038687317, 0.00, 3827.11, 182.21
YBYBYB, 0.0018913798, 4138.87, 138.61, 0.00
YBYBYP, 0.0077374633, 4138.87, 92.41, 1038.13
YBYBBP, 0.0056741396, 3818.15, 138.61, 1379.62
YBYPYP, 0.010551086, 4138.87, 1038.13, 92.41
YBYPBP, 0.015474925, 3827.11, 1742.96, 92.41
YBBPBP, 0.0056741396, 2681.66, 2570.73, 92.41
YPYPYP, 0.004795948, 4138.87, 0.00, 138.61
YPYPBP, 0.010551086, 3818.15, 1379.62, 138.61
YPBPBP, 0.0077374633, 2455.30, 2759.24, 138.61
BPBPBP, 0.0018913798, 0.00, 4138.87, 138.61
YYYYYYYY, 0.0001604831, 295.70, 0.00, 0.00
YYYYYYBB, 0.00034521698, 221.77, 8019.83, 0.00
YYYYYYPP, 0.0006419324, 221.77, 0.00, 8019.83
YYYYYYYB, 0.0009415008, 334.15, 5012.40, 0.00
YYYYYYYP, 0.0012838648, 334.15, 0.00, 5012.40
YYYYYYBP, 0.0009415008, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.00027847505, 8406.48, 147.85, 0.00
YYYYBBPP, 0.001035651, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0015189549, 6820.52, 120.13, 0.00
YYYYBBYP, 0.002071302, 6820.52, 73.92, 697.79
YYYYBBBP, 0.0015189549, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.0009628986, 8406.48, 0.00, 147.85
YYYYPPYB, 0.0028245025, 6820.52, 697.79, 73.92
YYYYPPYP, 0.0038515944, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0028245025, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.002071302, 4567.76, 92.41, 0.00
YYYYYBYP, 0.005649005, 4567.76, 187.29, 46.20
YYYYYBBP, 0.004142604, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0038515944, 4567.76, 0.00, 92.41
YYYYYPBP, 0.005649005, 6820.52, 622.88, 92.41
YYYYBPBP, 0.002071302, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.00009983846, 8019.83, 221.77, 0.00
YYBBBBPP, 0.0005569501, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.0008168601, 9002.76, 194.05, 0.00
YYBBBBYP, 0.0011139002, 9002.76, 147.85, 2627.02
YYBBBBBP, 0.0008168601, 8019.83, 249.64, 2681.66
YYBBPPPP, 0.001035651, 8019.83, 4203.24, 147.85
YYBBPPYB, 0.0030379097, 9002.76, 120.13, 2871.80
YYBBPPYP, 0.004142604, 9002.76, 2871.80, 120.13
YYBBPPBP, 0.0030379097, 8019.83, 3948.72, 120.13
YYBBYBYB, 0.0022278004, 8909.02, 166.33, 0.00
YYBBYBYP, 0.006075819, 8909.02, 120.13, 1794.87
YYBBYBBP, 0.0044556004, 9002.76, 206.03, 1931.47
YYBBYPYP, 0.004142604, 8909.02, 1661.00, 92.41
YYBBYPBP, 0.0060758195, 9002.76, 120.13, 2871.80
YYBBBPBP, 0.0022278004, 8019.83, 182.21, 3827.11
YYPPPPPP, 0.0006419324, 8019.83, 0.00, 221.77
YYPPPPYB, 0.0028245025, 9002.76, 2627.02, 147.85
YYPPPPYP, 0.0038515944, 9002.76, 0.00, 194.05
YYPPPPBP, 0.0028245025, 8019.83, 2681.66, 249.64
YYPPYBYB, 0.004142604, 8909.02, 92.41, 1661.00
YYPPYBYP, 0.01129801, 8909.02, 1794.87, 120.13
YYPPYBBP, 0.008285208, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.007703189, 8909.02, 0.00, 166.33
YYPPYPBP, 0.01129801, 9002.76, 1931.47, 206.03
YYPPBPBP, 0.004142604, 8019.83, 3827.11, 182.21
YYYBYBYB, 0.002025273, 7817.86, 138.61, 0.00
YYYBYBYP, 0.008285208, 7817.86, 92.41, 1038.13
YYYBYBBP, 0.0060758195, 8909.02, 138.61, 1379.62
YYYBYPYP, 0.01129801, 7817.86, 1038.13, 92.41
YYYBYPBP, 0.016570415, 8909.02, 1661.00, 92.41
YYYBBPBP, 0.006075819, 9002.76, 138.61, 2759.24
YYYPYPYP, 0.0051354594, 7817.86, 0.00, 138.61
YYYPYPBP, 0.01129801, 8909.02, 1379.62, 138.61
YYYPBPBP, 0.008285208, 9002.76, 2759.24, 138.61
YYBPBPBP, 0.002025273, 8019.83, 4138.87, 138.61
BBBBBBBB, 0.000013422727, 0.00, 295.70, 0.00
BBBBBBPP, 0.00009983846, 0.00, 221.77, 8019.83
BBBBBBYB, 0.00014642974, 5012.40, 334.15, 0.00
BBBBBBYP, 0.00019967691, 5012.40, 221.77, 3923.73
BBBBBBBP, 0.00014642974, 0.00, 334.15, 5012.40
BBBBPPPP, 0.00027847505, 0.00, 8406.48, 147.85
BBBBPPYB, 0.0008168601, 4954.42, 1059.86, 4526.12
BBBBPPYP, 0.0011139002, 5012.40, 147.85, 6658.54
BBBBPPBP, 0.0008168601, 0.00, 194.05, 9002.76
BBBBYBYB, 0.00059903075, 7164.10, 281.02, 0.00
BBBBYBYP, 0.0016337202, 7164.10, 401.66, 3421.20
BBBBYBBP, 0.0011980615, 5012.40, 839.84, 2681.66
BBBBYPYP, 0.0011139002, 7164.10, 147.85, 5060.29
BBBBYPBP, 0.0016337202, 5012.40, 217.87, 5906.03
BBBBBPBP, 0.00059903075, 0.00, 507.68, 6938.11
BBPPPPPP, 0.00034521698, 0.00, 8019.83, 221.77
BBPPPPYB, 0.0015189549, 5012.40, 6658.54, 147.85
BBPPPPYP, 0.002071302, 4954.42, 4526.12, 1059.86
BBPPPPBP, 0.0015189549, 0.00, 9002.76, 194.05
BBPPYBYB, 0.0022278004, 6979.74, 413.70, 4526.12
BBPPYBYP, 0.006075819, 7158.30, 4753.46, 120.13
BBPPYBBP, 0.0044556004, 5012.40, 5857.80, 120.13
BBPPYPYP, 0.004142604, 6979.74, 4526.12, 413.70
BBPPYPBP, 0.0060758195, 4954.42, 4271.60, 1531.43
BBPPBPBP, 0.0022278004, 0.00, 8909.02, 166.33
BBYBYBYB, 0.0010891468, 8516.32, 223.12, 0.00
BBYBYBYP, 0.004455601, 8516.32, 166.33, 3123.82
BBYBYBBP, 0.0032674405, 7037.71, 466.11, 2681.66
BBYBYPYP, 0.006075819, 8516.32, 120.13, 3608.02
BBYBYPBP, 0.008911201, 7164.10, 166.33, 4820.86
BBYBBPBP, 0.0032674405, 5012.40, 1044.84, 3827.11
