starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.000054443346, 221.77, 0.00, 0.00
YYYYBB, 0.00038657995, 2232.93, 73.92, 0.00
YYYYPP, 0.00038657995, 2232.93, 0.00, 73.92
YYYYYB, 0.00050255394, 249.64, 2681.66, 0.00
YYYYYP, 0.00050255394, 249.64, 0.00, 2681.66
YYYYBP, 0.0007731599, 147.85, 2681.66, 2400.66
YYBBBB, 0.00091498205, 4203.24, 147.85, 0.00
YYBBPP, 0.0018299643, 4203.24, 1116.47, 73.92
YYBBYB, 0.0023789536, 3948.72, 120.13, 0.00
YYBBYP, 0.0023789536, 3948.72, 73.92, 697.79
YYBBBP, 0.0036599287, 4203.24, 120.13, 1076.92
YYPPPP, 0.00091498205, 4203.24, 0.00, 147.85
YYPPYB, 0.0023789536, 3948.72, 697.79, 73.92
YYPPYP, 0.0023789536, 3948.72, 0.00, 120.13
YYPPBP, 0.0036599287, 4203.24, 1076.92, 120.13
YYYBYB, 0.0015463197, 2906.75, 92.41, 0.00
YYYBYP, 0.0030926396, 2906.75, 187.29, 46.20
YYYBBP, 0.0047579072, 3948.72, 92.41, 622.88
YYYPYP, 0.0015463197, 2906.75, 0.00, 92.41
YYYPBP, 0.0047579072, 3948.72, 622.88, 92.41
YYBPBP, 0.0036599282, 4203.24, 1245.75, 92.41
BBBBBB, 0.00072187936, 0.00, 221.77, 0.00
BBBBPP, 0.0021656381, 0.00, 147.85, 4203.24
BBBBYB, 0.0028153295, 2681.66, 249.64, 0.00
BBBBYP, 0.0028153295, 2681.66, 147.85, 2400.66
BBBBBP, 0.0043312763, 0.00, 249.64, 2681.66
BBPPPP, 0.0021656381, 0.00, 4203.24, 147.85
BBPPYB, 0.005630659, 2455.30, 120.13, 2871.80
BBPPYP, 0.005630659, 2455.30, 2871.80, 120.13
BBPPBP, 0.008662553, 0.00, 3948.72, 120.13
BBYBYB, 0.0036599282, 3827.11, 182.21, 0.00
BBYBYP, 0.0073198564, 3827.11, 120.13, 1785.91
BBYBBP, 0.011261318, 2672.71, 389.81, 1379.62
BBYPYP, 0.0036599282, 3818.15, 1661.00, 92.41
BBYPBP, 0.011261318, 2681.66, 120.13, 2931.36
BBBPBP, 0.008662553, 0.00, 182.21, 3827.11
PPPPPP, 0.00072187936, 0.00, 0.00, 221.77
PPPPYB, 0.0028153295, 2681.66, 2400.66, 147.85
PPPPYP, 0.0028153295, 2681.66, 0.00, 249.64
PPPPBP, 0.0043312763, 0.00, 2681.66, 249.64
PPYBYB, 0.0036599282, 3827.11, 1477.54, 73.92
PPYBYP, 0.0073198564, 3827.11, 1785.91, 120.13
PPYBBP, 0.011261318, 2681.66, 2931.36, 120.13
PPYPYP, 0.0036599282, 3827.11, 0.00, 182.21
PPYPBP, 0.011261318, 2672.71, 1379.62, 389.81
PPBPBP, 0.008662553, 0.00, 3827.11, 182.21
YBYBYB, 0.001585969, 4138.87, 138.61, 0.00
YBYBYP, 0.004757907, 4138.87, 92.41, 1038.13
YBYBBP, 0.0073198564, 3818.15, 138.61, 1379.62
YBYPYP, 0.004757907, 4138.87, 1038.13, 92.41
YBYPBP, 0.014639713, 3827.11, 1742.96, 92.41
YBBPBP, 0.011261318, 2681.66, 2570.73, 92.41
YPYPYP, 0.001585969, 4138.87, 0.00, 138.61
YPYPBP, 0.0073198564, 3818.15, 1379.62, 138.61
YPBPBP, 0.011261318, 2455.30, 2759.24, 138.61
BPBPBP, 0.005775035, 0.00, 4138.87, 138.61
YYYYYYYY, 0.000006551032, 295.70, 0.00, 0.00
YYYYYYBB, 0.00006202161, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00006202161, 221.77, 0.00, 8019.83
YYYYYYYB, 0.00008062809, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00008062809, 334.15, 0.00, 5012.40
YYYYYYBP, 0.00012404322, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.00022019504, 8406.48, 147.85, 0.00
YYYYBBPP, 0.00044039008, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.00057250715, 6820.52, 120.13, 0.00
YYYYBBYP, 0.00057250715, 6820.52, 73.92, 697.79
YYYYBBBP, 0.00088078016, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.00022019504, 8406.48, 0.00, 147.85
YYYYPPYB, 0.00057250715, 6820.52, 697.79, 73.92
YYYYPPYP, 0.00057250715, 6820.52, 0.00, 120.13
YYYYPPBP, 0.00088078016, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.0003721296, 4567.76, 92.41, 0.00
YYYYYBYP, 0.0007442592, 4567.76, 187.29, 46.20
YYYYYBBP, 0.0011450142, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0003721296, 4567.76, 0.00, 92.41
YYYYYPBP, 0.0011450142, 6820.52, 622.88, 92.41
YYYYBPBP, 0.00088078016, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.00034744779, 8019.83, 221.77, 0.00
YYBBBBPP, 0.0010423432, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.0013550463, 9002.76, 194.05, 0.00
YYBBBBYP, 0.0013550463, 9002.76, 147.85, 2627.02
YYBBBBBP, 0.0020846864, 8019.83, 249.64, 2681.66
YYBBPPPP, 0.0010423433, 8019.83, 4203.24, 147.85
YYBBPPYB, 0.0027100928, 9002.76, 120.13, 2871.80
YYBBPPYP, 0.0027100928, 9002.76, 2871.80, 120.13
YYBBPPBP, 0.004169374, 8019.83, 3948.72, 120.13
YYBBYBYB, 0.0017615603, 8909.02, 166.33, 0.00
YYBBYBYP, 0.0035231207, 8909.02, 120.13, 1794.87
YYBBYBBP, 0.005420186, 9002.76, 206.03, 1931.47
YYBBYPYP, 0.0017615603, 8909.02, 1661.00, 92.41
YYBBYPBP, 0.005420186, 9002.76, 120.13, 2871.80
YYBBBPBP, 0.0041693733, 8019.83, 182.21, 3827.11
YYPPPPPP, 0.00034744779, 8019.83, 0.00, 221.77
YYPPPPYB, 0.0013550463, 9002.76, 2627.02, 147.85
YYPPPPYP, 0.0013550463, 9002.76, 0.00, 194.05
YYPPPPBP, 0.0020846864, 8019.83, 2681.66, 249.64
YYPPYBYB, 0.0017615603, 8909.02, 92.41, 1661.00
YYPPYBYP, 0.0035231207, 8909.02, 1794.87, 120.13
YYPPYBBP, 0.005420186, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.0017615603, 8909.02, 0.00, 166.33
