starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00012586605, 221.77, 0.00, 0.00
YYYYBB, 0.0007021453, 2232.93, 73.92, 0.00
YYYYPP, 0.0005273892, 2232.93, 0.00, 73.92
YYYYYB, 0.0010298131, 249.64, 2681.66, 0.00
YYYYYP, 0.0008925047, 249.64, 0.00, 2681.66
YYYYBP, 0.0012170519, 147.85, 2681.66, 2400.66
YYBBBB, 0.001305642, 4203.24, 147.85, 0.00
YYBBPP, 0.0019613644, 4203.24, 1116.47, 73.92
YYBBYB, 0.003829883, 3948.72, 120.13, 0.00
YYBBYP, 0.0033192323, 3948.72, 73.92, 697.79
YYBBBP, 0.004526226, 4203.24, 120.13, 1076.92
YYPPPP, 0.0007366014, 4203.24, 0.00, 147.85
YYPPYB, 0.0028766678, 3948.72, 697.79, 73.92
YYPPYP, 0.0024931123, 3948.72, 0.00, 120.13
YYPPBP, 0.003399698, 4203.24, 1076.92, 120.13
YYYBYB, 0.0028085809, 2906.75, 92.41, 0.00
YYYBYP, 0.0048682075, 2906.75, 187.29, 46.20
YYYBBP, 0.0066384636, 3948.72, 92.41, 622.88
YYYPYP, 0.0021095567, 2906.75, 0.00, 92.41
YYYPBP, 0.0057533365, 3948.72, 622.88, 92.41
YYBPBP, 0.003922729, 4203.24, 1245.75, 92.41
BBBBBB, 0.0008092821, 0.00, 221.77, 0.00
BBBBPP, 0.0018235826, 0.00, 147.85, 4203.24
BBBBYB, 0.0035608413, 2681.66, 249.64, 0.00
BBBBYP, 0.0030860626, 2681.66, 147.85, 2400.66
BBBBBP, 0.004208267, 0.00, 249.64, 2681.66
BBPPPP, 0.0013697131, 0.00, 4203.24, 147.85
BBPPYB, 0.005349175, 2455.30, 120.13, 2871.80
BBPPYP, 0.0046359524, 2455.30, 2871.80, 120.13
BBPPBP, 0.006321753, 0.00, 3948.72, 120.13
BBYBYB, 0.0052225674, 3827.11, 182.21, 0.00
BBYBYP, 0.009052451, 3827.11, 120.13, 1785.91
BBYBBP, 0.0123442495, 2672.71, 389.81, 1379.62
BBYPYP, 0.0039227293, 3818.15, 1661.00, 92.41
BBYPBP, 0.010698352, 2681.66, 120.13, 2931.36
BBBPBP, 0.00729433, 0.00, 182.21, 3827.11
PPPPPP, 0.00034293561, 0.00, 0.00, 221.77
PPPPYB, 0.0020089126, 2681.66, 2400.66, 147.85
PPPPYP, 0.0017410577, 2681.66, 0.00, 249.64
PPPPBP, 0.0023741694, 0.00, 2681.66, 249.64
PPYBYB, 0.003922729, 3827.11, 1477.54, 73.92
PPYBYP, 0.006799396, 3827.11, 1785.91, 120.13
PPYBBP, 0.009271904, 2681.66, 2931.36, 120.13
PPYPYP, 0.0029464057, 3827.11, 0.00, 182.21
PPYPBP, 0.0080356505, 2672.71, 1379.62, 389.81
PPBPBP, 0.0054788524, 0.00, 3827.11, 182.21
YBYBYB, 0.0025532553, 4138.87, 138.61, 0.00
YBYBYP, 0.0066384636, 4138.87, 92.41, 1038.13
