starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0013081951, 221.77, 0.00, 0.00
YYYYBB, 0.002207579, 2232.93, 73.92, 0.00
YYYYPP, 0.0016581371, 2232.93, 0.00, 73.92
YYYYYB, 0.0058868774, 249.64, 2681.66, 0.00
YYYYYP, 0.00510196, 249.64, 0.00, 2681.66
YYYYBP, 0.00382647, 147.85, 2681.66, 2400.66
YYBBBB, 0.0012417634, 4203.24, 147.85, 0.00
YYBBPP, 0.0018654042, 4203.24, 1116.47, 73.92
YYBBYB, 0.006622738, 3948.72, 120.13, 0.00
YYBBYP, 0.0057397056, 3948.72, 73.92, 697.79
YYBBBP, 0.004304779, 4203.24, 120.13, 1076.92
YYPPPP, 0.00070056284, 4203.24, 0.00, 147.85
YYPPYB, 0.0049744113, 3948.72, 697.79, 73.92
YYPPYP, 0.004311156, 3948.72, 0.00, 120.13
YYPPBP, 0.003233367, 4203.24, 1076.92, 120.13
YYYBYB, 0.008830317, 2906.75, 92.41, 0.00
YYYBYP, 0.01530588, 2906.75, 187.29, 46.20
YYYBBP, 0.01147941, 3948.72, 92.41, 622.88
YYYPYP, 0.006632548, 2906.75, 0.00, 92.41
YYYPBP, 0.009948823, 3948.72, 622.88, 92.41
YYBPBP, 0.0037308082, 4203.24, 1245.75, 92.41
BBBBBB, 0.00023283064, 0.00, 221.77, 0.00
BBBBPP, 0.000524645, 0.00, 147.85, 4203.24
BBBBYB, 0.001862645, 2681.66, 249.64, 0.00
BBBBYP, 0.0016142922, 2681.66, 147.85, 2400.66
BBBBBP, 0.0012107192, 0.00, 249.64, 2681.66
BBPPPP, 0.00039406662, 0.00, 4203.24, 147.85
BBPPYB, 0.0027981063, 2455.30, 120.13, 2871.80
BBPPYP, 0.0024250252, 2455.30, 2871.80, 120.13
BBPPBP, 0.0018187689, 0.00, 3948.72, 120.13
BBYBYB, 0.0049670534, 3827.11, 182.21, 0.00
BBYBYP, 0.008609558, 3827.11, 120.13, 1785.91
BBYBBP, 0.0064571686, 2672.71, 389.81, 1379.62
BBYPYP, 0.0037308082, 3818.15, 1661.00, 92.41
BBYPBP, 0.005596213, 2681.66, 120.13, 2931.36
BBBPBP, 0.0020985797, 0.00, 182.21, 3827.11
PPPPPP, 0.00009866259, 0.00, 0.00, 221.77
PPPPYB, 0.0010508443, 2681.66, 2400.66, 147.85
PPPPYP, 0.0009107316, 2681.66, 0.00, 249.64
PPPPBP, 0.00068304874, 0.00, 2681.66, 249.64
PPYBYB, 0.0037308084, 3827.11, 1477.54, 73.92
PPYBYP, 0.006466734, 3827.11, 1785.91, 120.13
PPYBBP, 0.0048500504, 2681.66, 2931.36, 120.13
PPYPYP, 0.0028022511, 3827.11, 0.00, 182.21
PPYPBP, 0.004203377, 2672.71, 1379.62, 389.81
PPBPBP, 0.0015762663, 0.00, 3827.11, 182.21
YBYBYB, 0.004415158, 4138.87, 138.61, 0.00
YBYBYP, 0.011479411, 4138.87, 92.41, 1038.13
YBYBBP, 0.008609558, 3818.15, 138.61, 1379.62
YBYPYP, 0.009948822, 4138.87, 1038.13, 92.41
YBYPBP, 0.014923233, 3827.11, 1742.96, 92.41
YBBPBP, 0.005596212, 2681.66, 2570.73, 92.41
YPYPYP, 0.0028741038, 4138.87, 0.00, 138.61
YPYPBP, 0.0064667333, 3818.15, 1379.62, 138.61
YPBPBP, 0.0048500504, 2455.30, 2759.24, 138.61
BPBPBP, 0.0012125126, 0.00, 4138.87, 138.61
YYYYYYYY, 0.0004542344, 295.70, 0.00, 0.00
YYYYYYBB, 0.0010220273, 221.77, 8019.83, 0.00
YYYYYYPP, 0.000767656, 221.77, 0.00, 8019.83
YYYYYYYB, 0.0027254063, 334.15, 5012.40, 0.00
YYYYYYYP, 0.0023620187, 334.15, 0.00, 5012.40
YYYYYYBP, 0.001771514, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.0008623356, 8406.48, 147.85, 0.00
YYYYBBPP, 0.0012954195, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0045991233, 6820.52, 120.13, 0.00
YYYYBBYP, 0.0039859065, 6820.52, 73.92, 697.79
YYYYBBBP, 0.00298943, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.00048650196, 8406.48, 0.00, 147.85
YYYYPPYB, 0.0034544524, 6820.52, 697.79, 73.92
YYYYPPYP, 0.0029938584, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0022453936, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.006132165, 4567.76, 92.41, 0.00
YYYYYBYP, 0.010629083, 4567.76, 187.29, 46.20
YYYYYBBP, 0.007971812, 6820.52, 92.41, 622.88
YYYYYPYP, 0.004605936, 4567.76, 0.00, 92.41
YYYYYPBP, 0.006908904, 6820.52, 622.88, 92.41
YYYYBPBP, 0.0025908388, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.0003233759, 8019.83, 221.77, 0.00
YYBBBBPP, 0.00072867353, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.002587007, 9002.76, 194.05, 0.00
YYBBBBYP, 0.0022420725, 9002.76, 147.85, 2627.02
YYBBBBBP, 0.0016815544, 8019.83, 249.64, 2681.66
YYBBPPPP, 0.0005473147, 8019.83, 4203.24, 147.85
YYBBPPYB, 0.0038862587, 9002.76, 120.13, 2871.80
YYBBPPYP, 0.0033680908, 9002.76, 2871.80, 120.13
YYBBPPBP, 0.002526068, 8019.83, 3948.72, 120.13
YYBBYBYB, 0.0068986854, 8909.02, 166.33, 0.00
YYBBYBYP, 0.01195772, 8909.02, 120.13, 1794.87
YYBBYBBP, 0.00896829, 9002.76, 206.03, 1931.47
YYBBYPYP, 0.005181678, 8909.02, 1661.00, 92.41
YYBBYPBP, 0.0077725174, 9002.76, 120.13, 2871.80
YYBBBPBP, 0.0029146941, 8019.83, 182.21, 3827.11
YYPPPPPP, 0.00013703137, 8019.83, 0.00, 221.77
YYPPPPYB, 0.0014595059, 9002.76, 2627.02, 147.85
YYPPPPYP, 0.001264905, 9002.76, 0.00, 194.05
YYPPPPBP, 0.0009486787, 8019.83, 2681.66, 249.64
YYPPYBYB, 0.0051816786, 8909.02, 92.41, 1661.00
YYPPYBYP, 0.008981574, 8909.02, 1794.87, 120.13
YYPPYBBP, 0.0067361807, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.0038920152, 8909.02, 0.00, 166.33
YYPPYPBP, 0.005838023, 9002.76, 1931.47, 206.03
YYPPBPBP, 0.0021892586, 8019.83, 3827.11, 182.21
YYYBYBYB, 0.006132164, 7817.86, 138.61, 0.00
YYYBYBYP, 0.015943628, 7817.86, 92.41, 1038.13
YYYBYBBP, 0.011957721, 8909.02, 138.61, 1379.62
YYYBYPYP, 0.013817808, 7817.86, 1038.13, 92.41
YYYBYPBP, 0.02072671, 8909.02, 1661.00, 92.41
YYYBBPBP, 0.0077725165, 9002.76, 138.61, 2759.24
YYYPYPYP, 0.0039918106, 7817.86, 0.00, 138.61
YYYPYPBP, 0.008981574, 8909.02, 1379.62, 138.61
YYYPBPBP, 0.0067361807, 9002.76, 2759.24, 138.61
YYBPBPBP, 0.0016840452, 8019.83, 4138.87, 138.61
BBBBBBBB, 0.000045474735, 0.00, 295.70, 0.00
BBBBBBPP, 0.00013662629, 0.00, 221.77, 8019.83
BBBBBBYB, 0.00048506382, 5012.40, 334.15, 0.00
BBBBBBYP, 0.00042038862, 5012.40, 221.77, 3923.73
BBBBBBBP, 0.00031529146, 0.00, 334.15, 5012.40
BBBBPPPP, 0.00015393227, 0.00, 8406.48, 147.85
BBBBPPYB, 0.0010930103, 4954.42, 1059.86, 4526.12
BBBBPPYP, 0.00094727555, 5012.40, 147.85, 6658.54
BBBBPPBP, 0.00071045663, 0.00, 194.05, 9002.76
BBBBYBYB, 0.0019402553, 7164.10, 281.02, 0.00
BBBBYBYP, 0.0033631087, 7164.10, 401.66, 3421.20
BBBBYBBP, 0.0025223317, 5012.40, 839.84, 2681.66
BBBBYPYP, 0.0014573471, 7164.10, 147.85, 5060.29
BBBBYPBP, 0.0021860204, 5012.40, 217.87, 5906.03
BBBBBPBP, 0.0008197577, 0.00, 507.68, 6938.11
BBPPPPPP, 0.00007708015, 0.00, 8019.83, 221.77
BBPPPPYB, 0.000820972, 5012.40, 6658.54, 147.85
BBPPPPYP, 0.00071150914, 4954.42, 4526.12, 1059.86
BBPPPPBP, 0.0005336318, 0.00, 9002.76, 194.05
BBPPYBYB, 0.0029146941, 6979.74, 413.70, 4526.12
BBPPYBYP, 0.005052136, 7158.30, 4753.46, 120.13
BBPPYBBP, 0.0037891017, 5012.40, 5857.80, 120.13
BBPPYPYP, 0.0021892586, 6979.74, 4526.12, 413.70
BBPPYPBP, 0.003283888, 4954.42, 4271.60, 1531.43
BBPPBPBP, 0.001231458, 0.00, 8909.02, 166.33
BBYBYBYB, 0.0034493422, 8516.32, 223.12, 0.00
BBYBYBYP, 0.00896829, 8516.32, 166.33, 3123.82
BBYBYBBP, 0.0067262175, 7037.71, 466.11, 2681.66
BBYBYPYP, 0.0077725174, 8516.32, 120.13, 3608.02
BBYBYPBP, 0.011658776, 7164.10, 166.33, 4820.86
BBYBBPBP, 0.0043720407, 5012.40, 1044.84, 3827.11
BBYPYPYP, 0.0022453936, 8458.34, 3678.99, 138.61
BBYPYPBP, 0.0050521353, 6979.74, 4271.60, 585.70
BBYPBPBP, 0.0037891017, 5012.40, 166.33, 6637.60
BBBPBPBP, 0.0009472755, 0.00, 7817.86, 138.61
PPPPPPPP, 0.000014473936, 0.00, 0.00, 295.70
PPPPPPYB, 0.00020554705, 5012.40, 3923.73, 221.77
PPPPPPYP, 0.00017814076, 5012.40, 0.00, 334.15
PPPPPPBP, 0.00013360557, 0.00, 5012.40, 334.15
PPPPYBYB, 0.0010946294, 7164.10, 5060.29, 147.85
PPPPYBYP, 0.0018973574, 7164.10, 3421.20, 401.66
PPPPYBBP, 0.0014230182, 5012.40, 5906.03, 217.87
PPPPYPYP, 0.0008221881, 7164.10, 0.00, 281.02
PPPPYPBP, 0.0012332823, 5012.40, 2681.66, 839.84
PPPPBPBP, 0.00046248085, 0.00, 7152.49, 300.07
PPYBYBYB, 0.002590839, 8458.34, 138.61, 3678.99
PPYBYBYP, 0.0067361817, 8516.32, 3608.02, 120.13
PPYBYBBP, 0.005052136, 7158.30, 4753.46, 120.13
PPYBYPYP, 0.0058380226, 8516.32, 3123.82, 166.33
PPYBYPBP, 0.008757034, 7164.10, 4820.86, 166.33
PPYBBPBP, 0.0032838879, 5012.40, 6637.60, 166.33
