starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00012736586, 221.77, 0.00, 0.00
YYYYBB, 0.00038209755, 2232.93, 73.92, 0.00
YYYYPP, 0.0009043731, 2232.93, 0.00, 73.92
YYYYYB, 0.0007641951, 249.64, 2681.66, 0.00
YYYYYP, 0.001175685, 249.64, 0.00, 2681.66
YYYYBP, 0.001175685, 147.85, 2681.66, 2400.66
YYBBBB, 0.00038209755, 4203.24, 147.85, 0.00
YYBBPP, 0.0018087463, 4203.24, 1116.47, 73.92
YYBBYB, 0.0015283902, 3948.72, 120.13, 0.00
YYBBYP, 0.00235137, 3948.72, 73.92, 697.79
YYBBBP, 0.00235137, 4203.24, 120.13, 1076.92
YYPPPP, 0.0021405285, 4203.24, 0.00, 147.85
YYPPYB, 0.0036174925, 3948.72, 697.79, 73.92
YYPPYP, 0.005565373, 3948.72, 0.00, 120.13
YYPPBP, 0.005565373, 4203.24, 1076.92, 120.13
YYYBYB, 0.0015283902, 2906.75, 92.41, 0.00
YYYBYP, 0.00470274, 2906.75, 187.29, 46.20
YYYBBP, 0.00470274, 3948.72, 92.41, 622.88
YYYPYP, 0.003617492, 2906.75, 0.00, 92.41
YYYPBP, 0.007234985, 3948.72, 622.88, 92.41
YYBPBP, 0.003617492, 4203.24, 1245.75, 92.41
BBBBBB, 0.00012736586, 0.00, 221.77, 0.00
BBBBPP, 0.0009043731, 0.00, 147.85, 4203.24
BBBBYB, 0.0007641951, 2681.66, 249.64, 0.00
BBBBYP, 0.001175685, 2681.66, 147.85, 2400.66
BBBBBP, 0.001175685, 0.00, 249.64, 2681.66
BBPPPP, 0.0021405285, 0.00, 4203.24, 147.85
BBPPYB, 0.0036174925, 2455.30, 120.13, 2871.80
BBPPYP, 0.005565373, 2455.30, 2871.80, 120.13
BBPPBP, 0.005565373, 0.00, 3948.72, 120.13
BBYBYB, 0.0015283902, 3827.11, 182.21, 0.00
BBYBYP, 0.00470274, 3827.11, 120.13, 1785.91
