starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00025403698, 221.77, 0.00, 0.00
YYYYBB, 0.0007621109, 2232.93, 73.92, 0.00
YYYYPP, 0.0010146449, 2232.93, 0.00, 73.92
YYYYYB, 0.0015242219, 249.64, 2681.66, 0.00
YYYYYP, 0.0017587177, 249.64, 0.00, 2681.66
YYYYBP, 0.0017587177, 147.85, 2681.66, 2400.66
YYBBBB, 0.0007621109, 4203.24, 147.85, 0.00
YYBBPP, 0.0020292897, 4203.24, 1116.47, 73.92
YYBBYB, 0.0030484437, 3948.72, 120.13, 0.00
YYBBYP, 0.0035174354, 3948.72, 73.92, 697.79
YYBBBP, 0.0035174354, 4203.24, 120.13, 1076.92
YYPPPP, 0.0013508587, 4203.24, 0.00, 147.85
YYPPYB, 0.0040585794, 3948.72, 697.79, 73.92
YYPPYP, 0.0046829763, 3948.72, 0.00, 120.13
YYPPBP, 0.0046829763, 4203.24, 1076.92, 120.13
YYYBYB, 0.0030484437, 2906.75, 92.41, 0.00
YYYBYP, 0.007034871, 2906.75, 187.29, 46.20
YYYBBP, 0.007034871, 3948.72, 92.41, 622.88
YYYPYP, 0.0040585794, 2906.75, 0.00, 92.41
YYYPBP, 0.008117159, 3948.72, 622.88, 92.41
YYBPBP, 0.0040585794, 4203.24, 1245.75, 92.41
BBBBBB, 0.00025403698, 0.00, 221.77, 0.00
BBBBPP, 0.0010146449, 0.00, 147.85, 4203.24
BBBBYB, 0.0015242219, 2681.66, 249.64, 0.00
BBBBYP, 0.0017587177, 2681.66, 147.85, 2400.66
BBBBBP, 0.0017587177, 0.00, 249.64, 2681.66
BBPPPP, 0.0013508587, 0.00, 4203.24, 147.85
BBPPYB, 0.0040585794, 2455.30, 120.13, 2871.80
BBPPYP, 0.0046829763, 2455.30, 2871.80, 120.13
BBPPBP, 0.0046829763, 0.00, 3948.72, 120.13
BBYBYB, 0.0030484437, 3827.11, 182.21, 0.00
BBYBYP, 0.007034871, 3827.11, 120.13, 1785.91
BBYBBP, 0.007034871, 2672.71, 389.81, 1379.62
BBYPYP, 0.0040585794, 3818.15, 1661.00, 92.41
BBYPBP, 0.008117159, 2681.66, 120.13, 2931.36
BBBPBP, 0.0040585794, 0.00, 182.21, 3827.11
PPPPPP, 0.0005994935, 0.00, 0.00, 221.77
PPPPYB, 0.0027017174, 2681.66, 2400.66, 147.85
PPPPYP, 0.0031173662, 2681.66, 0.00, 249.64
PPPPBP, 0.0031173662, 0.00, 2681.66, 249.64
PPYBYB, 0.0040585794, 3827.11, 1477.54, 73.92
PPYBYP, 0.009365953, 3827.11, 1785.91, 120.13
PPYBBP, 0.009365953, 2681.66, 2931.36, 120.13
PPYPYP, 0.0054034344, 3827.11, 0.00, 182.21
PPYPBP, 0.010806869, 2672.71, 1379.62, 389.81
PPBPBP, 0.0054034344, 0.00, 3827.11, 182.21
YBYBYB, 0.0020322958, 4138.87, 138.61, 0.00
YBYBYP, 0.007034871, 4138.87, 92.41, 1038.13
YBYBBP, 0.007034871, 3818.15, 138.61, 1379.62
YBYPYP, 0.008117159, 4138.87, 1038.13, 92.41
YBYPBP, 0.016234318, 3827.11, 1742.96, 92.41
YBBPBP, 0.008117159, 2681.66, 2570.73, 92.41
YPYPYP, 0.0031219842, 4138.87, 0.00, 138.61
YPYPBP, 0.009365953, 3818.15, 1379.62, 138.61
YPBPBP, 0.009365953, 2455.30, 2759.24, 138.61
BPBPBP, 0.0031219842, 0.00, 4138.87, 138.61
YYYYYYYY, 0.000051079416, 295.70, 0.00, 0.00
YYYYYYBB, 0.00020431765, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00027202058, 221.77, 0.00, 8019.83
YYYYYYYB, 0.0004086353, 334.15, 5012.40, 0.00
YYYYYYYP, 0.0004715023, 334.15, 0.00, 5012.40
