starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.000061035156, 221.77, 0.00, 0.00
YYYYBB, 0.0002557423, 2232.93, 73.92, 0.00
YYYYPP, 0.0006053073, 2232.93, 0.00, 73.92
YYYYYB, 0.00043279474, 249.64, 2681.66, 0.00
YYYYYP, 0.000665838, 249.64, 0.00, 2681.66
YYYYBP, 0.0007868995, 147.85, 2681.66, 2400.66
YYBBBB, 0.00035719379, 4203.24, 147.85, 0.00
YYBBPP, 0.0016908583, 4203.24, 1116.47, 73.92
YYBBYB, 0.0012089636, 3948.72, 120.13, 0.00
YYBBYP, 0.0018599441, 3948.72, 73.92, 697.79
YYBBBP, 0.0021981155, 4203.24, 120.13, 1076.92
YYPPPP, 0.0020010157, 4203.24, 0.00, 147.85
YYPPYB, 0.0028614525, 3948.72, 697.79, 73.92
YYPPYP, 0.004402235, 3948.72, 0.00, 120.13
YYPPBP, 0.005202641, 4203.24, 1076.92, 120.13
YYYBYB, 0.0010229693, 2906.75, 92.41, 0.00
YYYBYP, 0.003147598, 2906.75, 187.29, 46.20
YYYBBP, 0.0037198882, 3948.72, 92.41, 622.88
YYYPYP, 0.0024212291, 2906.75, 0.00, 92.41
YYYPBP, 0.0057229046, 3948.72, 622.88, 92.41
YYBPBP, 0.003381716, 4203.24, 1245.75, 92.41
BBBBBB, 0.00016629681, 0.00, 221.77, 0.00
BBBBPP, 0.0011808058, 0.00, 147.85, 4203.24
BBBBYB, 0.00084427616, 2681.66, 249.64, 0.00
BBBBYP, 0.0012988865, 2681.66, 147.85, 2400.66
BBBBBP, 0.0015350474, 0.00, 249.64, 2681.66
BBPPPP, 0.0027948068, 0.00, 4203.24, 147.85
BBPPYB, 0.003996574, 2455.30, 120.13, 2871.80
BBPPYP, 0.006148575, 2455.30, 2871.80, 120.13
BBPPBP, 0.0072664972, 0.00, 3948.72, 120.13
BBYBYB, 0.0014287751, 3827.11, 182.21, 0.00
BBYBYP, 0.0043962314, 3827.11, 120.13, 1785.91
BBYBBP, 0.005195546, 2672.71, 389.81, 1379.62
BBYPYP, 0.0033817166, 3818.15, 1661.00, 92.41
BBYPBP, 0.007993148, 2681.66, 120.13, 2931.36
BBBPBP, 0.004723223, 0.00, 182.21, 3827.11
PPPPPP, 0.0022049758, 0.00, 0.00, 221.77
PPPPYB, 0.0047296733, 2681.66, 2400.66, 147.85
PPPPYP, 0.007276421, 2681.66, 0.00, 249.64
PPPPBP, 0.008599406, 0.00, 2681.66, 249.64
PPYBYB, 0.0033817166, 3827.11, 1477.54, 73.92
PPYBYP, 0.010405282, 3827.11, 1785.91, 120.13
PPYBBP, 0.01229715, 2681.66, 2931.36, 120.13
PPYPYP, 0.008004063, 3827.11, 0.00, 182.21
PPYPBP, 0.018918693, 2672.71, 1379.62, 389.81
PPBPBP, 0.011179226, 0.00, 3827.11, 182.21
YBYBYB, 0.00080597575, 4138.87, 138.61, 0.00
YBYBYP, 0.0037198882, 4138.87, 92.41, 1038.13
YBYBBP, 0.004396231, 3818.15, 138.61, 1379.62
YBYPYP, 0.005722905, 4138.87, 1038.13, 92.41
YBYPBP, 0.013526864, 3827.11, 1742.96, 92.41
YBBPBP, 0.007993147, 2681.66, 2570.73, 92.41
YPYPYP, 0.002934823, 4138.87, 0.00, 138.61
YPYPBP, 0.010405282, 3818.15, 1379.62, 138.61
YPBPBP, 0.012297149, 2455.30, 2759.24, 138.61
BPBPBP, 0.004844331, 0.00, 4138.87, 138.61
YYYYYYYY, 0.0000076293945, 295.70, 0.00, 0.00
YYYYYYBB, 0.00004262372, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00010088455, 221.77, 0.00, 8019.83
YYYYYYYB, 0.000072132454, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00011097301, 334.15, 0.00, 5012.40
YYYYYYBP, 0.0001311499, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.000089298446, 8406.48, 147.85, 0.00
YYYYBBPP, 0.00042271457, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0003022409, 6820.52, 120.13, 0.00
YYYYBBYP, 0.00046498602, 6820.52, 73.92, 697.79
YYYYBBBP, 0.00054952886, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.0005002539, 8406.48, 0.00, 147.85
YYYYPPYB, 0.00071536313, 6820.52, 697.79, 73.92
YYYYPPYP, 0.0011005588, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0013006602, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.0002557423, 4567.76, 92.41, 0.00
YYYYYBYP, 0.0007868995, 4567.76, 187.29, 46.20
YYYYYBBP, 0.00092997204, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0006053073, 4567.76, 0.00, 92.41
YYYYYPBP, 0.0014307261, 6820.52, 622.88, 92.41
YYYYBPBP, 0.000845429, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.00008314841, 8019.83, 221.77, 0.00
YYBBBBPP, 0.0005904029, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.00042213808, 9002.76, 194.05, 0.00
YYBBBBYP, 0.00064944325, 9002.76, 147.85, 2627.02
YYBBBBBP, 0.0007675237, 8019.83, 249.64, 2681.66
YYBBPPPP, 0.0013974034, 8019.83, 4203.24, 147.85
YYBBPPYB, 0.001998287, 9002.76, 120.13, 2871.80
YYBBPPYP, 0.0030742874, 9002.76, 2871.80, 120.13
YYBBPPBP, 0.0036332486, 8019.83, 3948.72, 120.13
YYBBYBYB, 0.00071438757, 8909.02, 166.33, 0.00
YYBBYBYP, 0.0021981157, 8909.02, 120.13, 1794.87
YYBBYBBP, 0.002597773, 9002.76, 206.03, 1931.47
YYBBYPYP, 0.0016908583, 8909.02, 1661.00, 92.41
YYBBYPBP, 0.003996574, 9002.76, 120.13, 2871.80
YYBBBPBP, 0.0023616115, 8019.83, 182.21, 3827.11
YYPPPPPP, 0.0011024879, 8019.83, 0.00, 221.77
YYPPPPYB, 0.0023648366, 9002.76, 2627.02, 147.85
YYPPPPYP, 0.0036382105, 9002.76, 0.00, 194.05
YYPPPPBP, 0.004299703, 8019.83, 2681.66, 249.64
YYPPYBYB, 0.0016908583, 8909.02, 92.41, 1661.00
YYPPYBYP, 0.005202641, 8909.02, 1794.87, 120.13
YYPPYBBP, 0.006148575, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.0040020314, 8909.02, 0.00, 166.33
YYPPYPBP, 0.0094593465, 9002.76, 1931.47, 206.03
YYPPBPBP, 0.005589613, 8019.83, 3827.11, 182.21
YYYBYBYB, 0.00040298788, 7817.86, 138.61, 0.00
YYYBYBYP, 0.0018599441, 7817.86, 92.41, 1038.13
YYYBYBBP, 0.0021981155, 8909.02, 138.61, 1379.62
YYYBYPYP, 0.0028614525, 7817.86, 1038.13, 92.41
YYYBYPBP, 0.006763432, 8909.02, 1661.00, 92.41
YYYBBPBP, 0.0039965734, 9002.76, 138.61, 2759.24
YYYPYPYP, 0.0014674115, 7817.86, 0.00, 138.61
YYYPYPBP, 0.005202641, 8909.02, 1379.62, 138.61
YYYPBPBP, 0.0061485744, 9002.76, 2759.24, 138.61
YYBPBPBP, 0.0024221656, 8019.83, 4138.87, 138.61
BBBBBBBB, 0.000029033221, 0.00, 295.70, 0.00
BBBBBBPP, 0.00027487075, 0.00, 221.77, 8019.83
BBBBBBYB, 0.0001965326, 5012.40, 334.15, 0.00
BBBBBBYP, 0.00030235783, 5012.40, 221.77, 3923.73
BBBBBBBP, 0.00035733194, 0.00, 334.15, 5012.40
BBBBPPPP, 0.0009758725, 0.00, 8406.48, 147.85
BBBBPPYB, 0.0013954977, 4954.42, 1059.86, 4526.12
BBBBPPYP, 0.0021469197, 5012.40, 147.85, 6658.54
BBBBPPBP, 0.0025372684, 0.00, 194.05, 9002.76
BBBBYBYB, 0.0004988904, 7164.10, 281.02, 0.00
BBBBYBYP, 0.0015350475, 7164.10, 401.66, 3421.20
BBBBYBBP, 0.001814147, 5012.40, 839.84, 2681.66
BBBBYPYP, 0.0011808058, 7164.10, 147.85, 5060.29
BBBBYPBP, 0.0027909954, 5012.40, 217.87, 5906.03
BBBBBPBP, 0.0016492243, 0.00, 507.68, 6938.11
BBPPPPPP, 0.0015398383, 0.00, 8019.83, 221.77
BBPPPPYB, 0.0033029532, 5012.40, 6658.54, 147.85
BBPPPPYP, 0.0050814664, 4954.42, 4526.12, 1059.86
BBPPPPBP, 0.0060053696, 0.00, 9002.76, 194.05
BBPPYBYB, 0.0023616117, 6979.74, 413.70, 4526.12
BBPPYBYP, 0.0072664972, 7158.30, 4753.46, 120.13
BBPPYBBP, 0.008587678, 5012.40, 5857.80, 120.13
BBPPYPYP, 0.0055896137, 6979.74, 4526.12, 413.70
BBPPYPBP, 0.013211813, 4954.42, 4271.60, 1531.43
BBPPBPBP, 0.00780698, 0.00, 8909.02, 166.33
BBYBYBYB, 0.0005628508, 8516.32, 223.12, 0.00
BBYBYBYP, 0.002597773, 8516.32, 166.33, 3123.82
BBYBYBBP, 0.0030700949, 7037.71, 466.11, 2681.66
BBYBYPYP, 0.003996574, 8516.32, 120.13, 3608.02
BBYBYPBP, 0.009446447, 7164.10, 166.33, 4820.86
BBYBBPBP, 0.005581991, 5012.40, 1044.84, 3827.11
BBYPYPYP, 0.002049525, 8458.34, 3678.99, 138.61
BBYPYPBP, 0.0072664972, 6979.74, 4271.60, 585.70
BBYPBPBP, 0.008587678, 5012.40, 166.33, 6637.60
BBBPBPBP, 0.0033830244, 0.00, 7817.86, 138.61
PPPPPPPP, 0.00091114704, 0.00, 0.00, 295.70
PPPPPPYB, 0.0026058804, 5012.40, 3923.73, 221.77
PPPPPPYP, 0.0040090466, 5012.40, 0.00, 334.15
PPPPPPBP, 0.004737964, 0.00, 5012.40, 334.15
PPPPYBYB, 0.0027948068, 7164.10, 5060.29, 147.85
PPPPYBYP, 0.008599406, 7164.10, 3421.20, 401.66
PPPPYBBP, 0.010162933, 5012.40, 5906.03, 217.87
PPPPYPYP, 0.006614927, 7164.10, 0.00, 281.02
PPPPYPBP, 0.015635282, 5012.40, 2681.66, 839.84
PPPPBPBP, 0.009239029, 0.00, 7152.49, 300.07
PPYBYBYB, 0.0013321913, 8458.34, 138.61, 3678.99
