starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.0008092819, 221.77, 0.00, 0.00
YYYYBB, 0.0018235819, 2232.93, 73.92, 0.00
YYYYPP, 0.0013056417, 2232.93, 0.00, 73.92
YYYYYB, 0.0042082653, 249.64, 2681.66, 0.00
YYYYYP, 0.0035608406, 249.64, 0.00, 2681.66
YYYYBP, 0.0030860621, 147.85, 2681.66, 2400.66
YYBBBB, 0.0013697124, 4203.24, 147.85, 0.00
YYBBPP, 0.0019613637, 4203.24, 1116.47, 73.92
YYBBYB, 0.0063217496, 3948.72, 120.13, 0.00
YYBBYP, 0.005349173, 3948.72, 73.92, 697.79
YYBBBP, 0.0046359506, 4203.24, 120.13, 1076.92
YYPPPP, 0.0007021452, 4203.24, 0.00, 147.85
YYPPYB, 0.004526224, 3948.72, 697.79, 73.92
YYPPYP, 0.0038298822, 3948.72, 0.00, 120.13
YYPPBP, 0.0033192316, 4203.24, 1076.92, 120.13
YYYBYB, 0.007294326, 2906.75, 92.41, 0.00
YYYBYP, 0.012344247, 2906.75, 187.29, 46.20
YYYBBP, 0.010698347, 3948.72, 92.41, 622.88
YYYPYP, 0.0052225664, 2906.75, 0.00, 92.41
YYYPBP, 0.009052448, 3948.72, 622.88, 92.41
YYBPBP, 0.003922728, 4203.24, 1245.75, 92.41
BBBBBB, 0.0003429354, 0.00, 221.77, 0.00
BBBBPP, 0.00073660107, 0.00, 147.85, 4203.24
BBBBYB, 0.002374168, 2681.66, 249.64, 0.00
BBBBYP, 0.0020089117, 2681.66, 147.85, 2400.66
BBBBBP, 0.001741057, 0.00, 249.64, 2681.66
BBPPPP, 0.00052738906, 0.00, 4203.24, 147.85
BBPPYB, 0.0033996967, 2455.30, 120.13, 2871.80
BBPPYP, 0.0028766668, 2455.30, 2871.80, 120.13
BBPPBP, 0.0024931114, 0.00, 3948.72, 120.13
BBYBYB, 0.0054788487, 3827.11, 182.21, 0.00
BBYBYP, 0.0092719, 3827.11, 120.13, 1785.91
BBYBBP, 0.008035647, 2672.71, 389.81, 1379.62
BBYPYP, 0.0039227274, 3818.15, 1661.00, 92.41
BBYPBP, 0.0067993943, 2681.66, 120.13, 2931.36
