starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00045048128, 221.77, 0.00, 0.00
YYYYBB, 0.0013514438, 2232.93, 73.92, 0.00
YYYYPP, 0.0010150843, 2232.93, 0.00, 73.92
YYYYYB, 0.0027028876, 249.64, 2681.66, 0.00
YYYYYP, 0.0023425024, 249.64, 0.00, 2681.66
YYYYBP, 0.0023425024, 147.85, 2681.66, 2400.66
YYBBBB, 0.0013514438, 4203.24, 147.85, 0.00
YYBBPP, 0.0020301687, 4203.24, 1116.47, 73.92
YYBBYB, 0.0054057753, 3948.72, 120.13, 0.00
YYBBYP, 0.0046850047, 3948.72, 73.92, 697.79
YYBBBP, 0.0046850047, 4203.24, 120.13, 1076.92
YYPPPP, 0.00076244096, 4203.24, 0.00, 147.85
YYPPYB, 0.0040603373, 3948.72, 697.79, 73.92
YYPPYP, 0.0035189586, 3948.72, 0.00, 120.13
YYPPBP, 0.0035189586, 4203.24, 1076.92, 120.13
YYYBYB, 0.0054057753, 2906.75, 92.41, 0.00
YYYBYP, 0.009370009, 2906.75, 187.29, 46.20
YYYBBP, 0.009370009, 3948.72, 92.41, 622.88
YYYPYP, 0.0040603373, 2906.75, 0.00, 92.41
YYYPBP, 0.008120675, 3948.72, 622.88, 92.41
YYBPBP, 0.0040603373, 4203.24, 1245.75, 92.41
BBBBBB, 0.00045048128, 0.00, 221.77, 0.00
BBBBPP, 0.0010150843, 0.00, 147.85, 4203.24
BBBBYB, 0.0027028876, 2681.66, 249.64, 0.00
BBBBYP, 0.0023425024, 2681.66, 147.85, 2400.66
BBBBBP, 0.0023425024, 0.00, 249.64, 2681.66
BBPPPP, 0.00076244096, 0.00, 4203.24, 147.85
BBPPYB, 0.0040603373, 2455.30, 120.13, 2871.80
BBPPYP, 0.0035189586, 2455.30, 2871.80, 120.13
BBPPBP, 0.0035189586, 0.00, 3948.72, 120.13
BBYBYB, 0.0054057753, 3827.11, 182.21, 0.00
BBYBYP, 0.009370009, 3827.11, 120.13, 1785.91
BBYBBP, 0.009370009, 2672.71, 389.81, 1379.62
BBYPYP, 0.0040603373, 3818.15, 1661.00, 92.41
BBYPBP, 0.008120675, 2681.66, 120.13, 2931.36
BBBPBP, 0.0040603373, 0.00, 182.21, 3827.11
PPPPPP, 0.00019089259, 0.00, 0.00, 221.77
PPPPYB, 0.0015248819, 2681.66, 2400.66, 147.85
PPPPYP, 0.0013215643, 2681.66, 0.00, 249.64
PPPPBP, 0.0013215643, 0.00, 2681.66, 249.64
PPYBYB, 0.0040603373, 3827.11, 1477.54, 73.92
PPYBYP, 0.007037917, 3827.11, 1785.91, 120.13
PPYBBP, 0.007037917, 2681.66, 2931.36, 120.13
PPYPYP, 0.0030497639, 3827.11, 0.00, 182.21
PPYPBP, 0.0060995277, 2672.71, 1379.62, 389.81
PPBPBP, 0.0030497639, 0.00, 3827.11, 182.21
YBYBYB, 0.0036038503, 4138.87, 138.61, 0.00
YBYBYP, 0.009370009, 4138.87, 92.41, 1038.13
YBYBBP, 0.009370009, 3818.15, 138.61, 1379.62
YBYPYP, 0.008120675, 4138.87, 1038.13, 92.41
YBYPBP, 0.01624135, 3827.11, 1742.96, 92.41
YBBPBP, 0.008120675, 2681.66, 2570.73, 92.41
YPYPYP, 0.0023459722, 4138.87, 0.00, 138.61
YPYPBP, 0.007037917, 3818.15, 1379.62, 138.61
YPBPBP, 0.007037917, 2455.30, 2759.24, 138.61
BPBPBP, 0.0023459722, 0.00, 4138.87, 138.61
YYYYYYYY, 0.00010963578, 295.70, 0.00, 0.00
YYYYYYBB, 0.00043854312, 221.77, 8019.83, 0.00
YYYYYYPP, 0.00032939456, 221.77, 0.00, 8019.83
YYYYYYYB, 0.00087708625, 334.15, 5012.40, 0.00
YYYYYYYP, 0.00076014135, 334.15, 0.00, 5012.40
YYYYYYBP, 0.00076014135, 221.77, 5012.40, 3923.73
YYYYBBBB, 0.00065781473, 8406.48, 147.85, 0.00
YYYYBBPP, 0.0009881837, 8406.48, 1116.47, 73.92
YYYYBBYB, 0.0026312587, 6820.52, 120.13, 0.00
YYYYBBYP, 0.002280424, 6820.52, 73.92, 697.79
YYYYBBBP, 0.002280424, 8406.48, 120.13, 1076.92
YYYYPPPP, 0.00037111784, 8406.48, 0.00, 147.85
YYYYPPYB, 0.001976367, 6820.52, 697.79, 73.92
YYYYPPYP, 0.0017128515, 6820.52, 0.00, 120.13
YYYYPPBP, 0.0017128515, 8406.48, 1076.92, 120.13
YYYYYBYB, 0.002631259, 4567.76, 92.41, 0.00
YYYYYBYP, 0.004560848, 4567.76, 187.29, 46.20
YYYYYBBP, 0.004560848, 6820.52, 92.41, 622.88
YYYYYPYP, 0.0019763673, 4567.76, 0.00, 92.41
YYYYYPBP, 0.003952734, 6820.52, 622.88, 92.41
YYYYBPBP, 0.0019763673, 8406.48, 1245.75, 92.41
YYBBBBBB, 0.00043854312, 8019.83, 221.77, 0.00
YYBBBBPP, 0.0009881837, 8019.83, 147.85, 4203.24
YYBBBBYB, 0.0026312587, 9002.76, 194.05, 0.00
YYBBBBYP, 0.002280424, 9002.76, 147.85, 2627.02
YYBBBBBP, 0.002280424, 8019.83, 249.64, 2681.66
YYBBPPPP, 0.0007422357, 8019.83, 4203.24, 147.85
YYBBPPYB, 0.003952734, 9002.76, 120.13, 2871.80
YYBBPPYP, 0.003425703, 9002.76, 2871.80, 120.13
YYBBPPBP, 0.003425703, 8019.83, 3948.72, 120.13
YYBBYBYB, 0.005262518, 8909.02, 166.33, 0.00
YYBBYBYP, 0.009121696, 8909.02, 120.13, 1794.87
YYBBYBBP, 0.009121696, 9002.76, 206.03, 1931.47
YYBBYPYP, 0.0039527346, 8909.02, 1661.00, 92.41
YYBBYPBP, 0.007905468, 9002.76, 120.13, 2871.80
YYBBBPBP, 0.0039527346, 8019.83, 182.21, 3827.11
YYPPPPPP, 0.00018583376, 8019.83, 0.00, 221.77
YYPPPPYB, 0.0014844711, 9002.76, 2627.02, 147.85
YYPPPPYP, 0.0012865416, 9002.76, 0.00, 194.05
YYPPPPBP, 0.0012865416, 8019.83, 2681.66, 249.64
YYPPYBYB, 0.0039527346, 8909.02, 92.41, 1661.00
YYPPYBYP, 0.006851406, 8909.02, 1794.87, 120.13
YYPPYBBP, 0.006851406, 9002.76, 2871.80, 120.13
YYPPYPYP, 0.0029689423, 8909.02, 0.00, 166.33
YYPPYPBP, 0.0059378846, 9002.76, 1931.47, 206.03
YYPPBPBP, 0.0029689423, 8019.83, 3827.11, 182.21
YYYBYBYB, 0.003508345, 7817.86, 138.61, 0.00
YYYBYBYP, 0.009121696, 7817.86, 92.41, 1038.13
YYYBYBBP, 0.009121696, 8909.02, 138.61, 1379.62
YYYBYPYP, 0.007905469, 7817.86, 1038.13, 92.41
YYYBYPBP, 0.015810937, 8909.02, 1661.00, 92.41
YYYBBPBP, 0.007905469, 9002.76, 138.61, 2759.24
YYYPYPYP, 0.0022838018, 7817.86, 0.00, 138.61
YYYPYPBP, 0.006851406, 8909.02, 1379.62, 138.61
YYYPBPBP, 0.006851406, 9002.76, 2759.24, 138.61
YYBPBPBP, 0.0022838018, 8019.83, 4138.87, 138.61
BBBBBBBB, 0.00010963578, 0.00, 295.70, 0.00
BBBBBBPP, 0.00032939456, 0.00, 221.77, 8019.83
BBBBBBYB, 0.00087708625, 5012.40, 334.15, 0.00
BBBBBBYP, 0.00076014135, 5012.40, 221.77, 3923.73
BBBBBBBP, 0.00076014135, 0.00, 334.15, 5012.40
BBBBPPPP, 0.00037111784, 0.00, 8406.48, 147.85
BBBBPPYB, 0.001976367, 4954.42, 1059.86, 4526.12
BBBBPPYP, 0.0017128515, 5012.40, 147.85, 6658.54
BBBBPPBP, 0.0017128515, 0.00, 194.05, 9002.76
BBBBYBYB, 0.002631259, 7164.10, 281.02, 0.00
BBBBYBYP, 0.004560848, 7164.10, 401.66, 3421.20
BBBBYBBP, 0.004560848, 5012.40, 839.84, 2681.66
BBBBYPYP, 0.0019763673, 7164.10, 147.85, 5060.29
